dataset,task,scheme,model,class,feature,mean_abs_shap,sd_abs_shap,mean_shap,value_shap_spearman,top_fold_frequency,n_fold_models,n_explained_regions,direction_consistency,direction
bc_jackson2020,DFS,cv,cox,risk,expression__Vimentin,0.1966463306925517,0.0371211010848014,-0.0008578033849769,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Ecadherin,0.1640588676727905,0.0316998513803972,-0.0002389231562939,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__c-erbB-2 - Her2,0.1548492142809966,0.03758695445971,-0.000795238944466,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (CK7+),0.1283454876579984,0.0253201461056849,-0.0007324132516551,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__c-Myc,0.0954992607770768,0.042071713015329,0.0029299251861066,1.0,0.8,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Vimentin,0.1907041411742274,0.0336383910040625,0.0004090919026587,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__c-erbB-2 - Her2,0.1877261034024805,0.0310873588649203,0.0006246140375529,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__vWF,0.1481173048781475,0.0362885490432599,-0.0034528145448647,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Ecadherin,0.1404953674139467,0.0491538405370349,0.0016498997483011,-1.0,0.9333333333333332,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Twist,0.109346521538658,0.0311068289355255,-0.0003530459890807,-1.0,0.9333333333333332,15,1128,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,composition__HR- CK7+,0.110788293791852,0.0282726818359999,0.0018852960552031,1.0,1.0,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__panCK,0.1097960584545357,0.0265151380738209,0.0001740186670336,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__PR,0.1093673450949303,0.0244955944809082,-0.0003565983005194,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__Ki67,0.1043810538542422,0.0331317704139263,0.0024203476136526,1.0,1.0,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,composition__Fibroblasts,0.1031264733398227,0.020032697868625,0.0007460823102833,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,OS,cv,cox,risk,composition__HR- CK7+,0.1367441105265996,0.0123998968377054,-0.00072238086049,1.0,1.0,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,OS,cv,cox,risk,expression__Erk1_2,0.1259897212928876,0.0227132538957281,-0.0002228669876484,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,OS,cv,cox,risk,composition__Fibroblasts,0.120144589642305,0.0284954703560867,0.0003585165252724,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,OS,cv,cox,risk,expression__PR,0.1164173966082566,0.0278735938182844,-0.0015523997799697,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,OS,cv,cox,risk,expression__c_Myc,0.1065365261788725,0.0302479111089495,0.0006963980050975,1.0,1.0,15,1596,1.0,higher value increases prediction
crc_schurch2020,DFS,cv,cox,risk,expression__CD194,0.2281694663960521,0.0918419932338166,0.0072692652118627,0.9999999999999998,0.9333333333333332,15,420,1.0,higher value increases prediction
crc_schurch2020,DFS,cv,cox,risk,expression__CD34,0.2163149672943975,0.0387597965484842,0.0008673353920532,-0.9999999999999998,0.9333333333333332,15,420,1.0,higher value decreases prediction
crc_schurch2020,DFS,cv,cox,risk,expression__CD138,0.2095493312212717,0.0758170488184642,-0.0047508896759838,-0.9999999999999998,0.8666666666666667,15,420,1.0,higher value decreases prediction
crc_schurch2020,DFS,cv,cox,risk,expression__CD45RO,0.1927293730576466,0.0723829328406729,0.0083019611670757,0.9999999999999998,0.8,15,420,1.0,higher value increases prediction
crc_schurch2020,DFS,cv,cox,risk,composition__vasculature,0.1866538269413753,0.0745421171287239,-0.0017253426945605,-0.9999999999999998,0.8,15,420,1.0,higher value decreases prediction
crc_schurch2020,OS,cv,cox,risk,expression__CD15,0.3365004847580151,0.1423935975763749,-0.0012811003293222,-0.9999999999999998,0.9333333333333332,15,420,1.0,higher value decreases prediction
crc_schurch2020,OS,cv,cox,risk,expression__Na-K-ATPase,0.2448958590510677,0.125412741639975,0.012138393238369,0.9999999999999998,0.8666666666666667,15,420,1.0,higher value increases prediction
crc_schurch2020,OS,cv,cox,risk,expression__BCL-2,0.2322216049405071,0.0837293103011637,0.0029090434274676,-0.9999999999999998,0.7333333333333333,15,420,1.0,higher value decreases prediction
crc_schurch2020,OS,cv,cox,risk,expression__CD71,0.2252782952933033,0.0888930158523359,0.000453265920459,-0.9999999999999998,0.6666666666666666,15,420,1.0,higher value decreases prediction
crc_schurch2020,OS,cv,cox,risk,expression__LAG-3,0.1966802628070865,0.0645788607205313,-0.0025407430213161,0.9999999999999998,0.7333333333333333,15,420,1.0,higher value increases prediction
crc_wu2022,DFS,cv,cox,risk,expression__CD15,0.2166592547046408,0.0622597272253914,0.0033893501055272,1.0,1.0,15,810,1.0,higher value increases prediction
crc_wu2022,DFS,cv,cox,risk,expression__Siglec8,0.1273252058620502,0.0571026131066862,-0.0030802768540553,-1.0,0.8666666666666667,15,810,1.0,higher value decreases prediction
crc_wu2022,DFS,cv,cox,risk,expression__CD68,0.1267274065082351,0.0271130099479628,0.0014685182536256,1.0,0.9333333333333332,15,810,1.0,higher value increases prediction
crc_wu2022,DFS,cv,cox,risk,composition__Tumor 7,0.1202892724096175,0.038863703169099,-0.0037877705990697,-1.0,0.9333333333333332,15,810,1.0,higher value decreases prediction
