dataset,task,class,feature,coefficient_mean,coefficient_sd,fold_selection_frequency,n_fold_models,seed_selection_frequency,bootstrap_coefficient_mean,bootstrap_coefficient_sd,ci_low,ci_high,n_bootstrap_fits,bootstrap_selection_frequency,direction,bootstrap_ci_direction,abs_coef
BC-Jackson2020,clinical_type,HR+HER2+,Tumor (CK7+),-1.0630363783931662,0.194526318952327,1.0,15,1.0,-1.0099228928044752,0.5279369466692535,-2.221807054592545,-0.1605150766279659,3000,0.9933333333333332,negative,negative,1.0630363783931662
BC-Jackson2020,clinical_type,HR+HER2+,Stroma (SMA hi Vimentin hi),-0.5691063463919063,0.3012293159271806,1.0,15,1.0,-0.6196553848622264,0.6273721524439794,-2.26423204938262,0.0,3000,0.8946666666666667,negative,crosses zero,0.5691063463919063
BC-Jackson2020,clinical_type,HR+HER2+,Tumor (Hypoxic),-0.5433676827123703,1.0677011998101478,0.8,15,1.0,-0.9557863647405412,1.3538404321186808,-4.557647593001404,0.2506636301654282,3000,0.8676666666666667,negative,crosses zero,0.5433676827123703
BC-Jackson2020,clinical_type,HR+HER2+,Tumor (CK+ HR hi),0.373225809330605,0.2012155789619399,1.0,15,1.0,0.2792625986794171,0.4496675304381302,-0.6575234190478234,1.0227069891354987,3000,0.8026666666666666,positive,crosses zero,0.373225809330605
BC-Jackson2020,clinical_type,HR+HER2+,Stroma (Small elongated),0.3061436879743848,0.1575096262875484,1.0,15,1.0,0.3687692527828248,0.343750348567656,-0.0946534193501581,1.170787016223764,3000,0.9243333333333332,positive,crosses zero,0.3061436879743848
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK+ HR lo),0.7927478640245166,0.7450358911027869,1.0,15,1.0,1.160074034601141,1.0389655209659914,0.0438454891409371,4.074771809958933,3000,0.986,positive,positive,0.7927478640245166
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK+ HR hi),0.7906598278327127,0.1079842905589271,1.0,15,1.0,0.8096729935622224,0.4485742431994576,0.1857279792640461,2.051388042367189,3000,0.9936666666666668,positive,positive,0.7906598278327127
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK7+),0.3395427502482671,0.2369317184841401,1.0,15,1.0,0.2990950364345779,0.3318001554949857,-0.0001544969535341,1.216967204112929,3000,0.896,positive,crosses zero,0.3395427502482671
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK7+ CK hi Ecadh hi),0.3334044316414185,0.1184590874980672,1.0,15,1.0,0.4102721445192945,0.3947044121111234,0.0,1.5934569399330574,3000,0.9333333333333332,positive,crosses zero,0.3334044316414185
BC-Jackson2020,clinical_type,HR+HER2-,Tumor (CK lo HR hi p53+),0.2488942554007999,0.0807250068454677,1.0,15,1.0,0.2684654665280266,0.2796825979367469,-6.547419456717044e-08,1.0473329766525068,3000,0.9633333333333334,positive,crosses zero,0.2488942554007999
BC-Jackson2020,clinical_type,HR-HER2+,Tumor (CK+ HR lo),-2.814356139701476,1.1151057639465076,1.0,15,1.0,-2.382100348616343,1.8526083786834264,-6.864795322439645,0.0,3000,0.9316666666666666,negative,crosses zero,2.814356139701476
