dataset,task,auc,std,count,kind,embed_ok,method
bc_jackson2020,motif_apc_t_contact,0.7154761146772071,0.0524548508768641,15,spatial,True,eva
bc_jackson2020,motif_cd8_high,0.8422718980869466,0.0454668857162156,15,control,False,eva
bc_jackson2020,motif_cd8_tumor_contact,0.8037385046684916,0.0354749200004592,15,spatial,True,eva
bc_jackson2020,motif_macrophage_tumor_niche,0.6662216659183985,0.0467721829298808,15,spatial,True,eva
bc_jackson2020,motif_t_tumor_mixing,0.8117817553523962,0.0360042686828609,15,spatial,True,eva
bc_jackson2020,motif_tumor_high,0.9386329318754952,0.0157824075500238,15,control,True,eva
hnc_wu2022,motif_cd8_clustering,0.6156149777357232,0.1163583446917186,15,spatial,True,eva
hnc_wu2022,motif_cd8_high,0.740509865581132,0.0491338153304941,15,control,False,eva
hnc_wu2022,motif_immune_exclusion,0.7207567167821954,0.0508443836762534,15,spatial,True,eva
hnc_wu2022,motif_tumor_high,0.7645377955876345,0.0538261177766834,15,control,False,eva
tnbc_wang2023,motif_cd8_high,0.8733088695205533,0.0234109204492203,15,control,False,eva
tnbc_wang2023,motif_tumor_high,0.8209011990706845,0.0203602955808823,15,control,False,eva
bc_metabric_ali2020,motif_cd8_high,0.8188301879983775,0.0381107429943397,15,control,False,eva
bc_metabric_ali2020,motif_interface_immune,0.7536664962849053,0.0743411911593537,15,spatial,True,eva
bc_metabric_ali2020,motif_tumor_high,0.9225353155052112,0.0321560052358394,15,control,True,eva
bc_metabric_ali2020,motif_tumor_stroma_mixing,0.8879181058046903,0.0266105725467791,15,spatial,True,eva
