method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,selected,shap_ok
lasso,bc_jackson2020,motif_apc_t_contact,spatial,True,True,pass_spatial,True,15,0.6806886142837433,0.6839872439309251,1.0,1.0,0.9333333333333332,0.9333333333333332,0.080998045998593,0.0025400963650254,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True
lasso,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,True,pass_spatial,True,15,0.8757017183602076,0.8810976088249568,1.0,1.0,1.0,1.0,0.0454954133502499,0.002042428511625,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True
lasso,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,True,pass_spatial,True,15,0.7913776079784736,0.7899695820827977,1.0,1.0,1.0,1.0,0.0984478229884034,0.0038940632740482,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True
lasso,bc_jackson2020,motif_t_tumor_mixing,spatial,True,True,pass_spatial,True,15,0.8804172395580807,0.8832423194389634,1.0,1.0,1.0,1.0,0.0491823389360193,0.0005266670220123,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True
lasso,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,15,0.9721066973045724,0.9729267388048382,1.0,1.0,1.0,1.0,0.0259039210390665,0.0001062054926519,1.0,1.0,1.0,pass_control,pass_control,True,True
lasso,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,15,0.5865776068687947,0.5847062845164773,0.0,0.0,0.5333333333333333,0.0,0.0094604101325502,0.0019130476538492,0.5,0.5,0.4666666666666667,abundance_only_or_fail,abundance_only_or_fail,True,False
lasso,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,True,False,fail_control_block,False,15,0.8721206303099582,0.873742112677661,1.0,1.0,1.0,1.0,0.0506704685325069,0.0020285371034636,0.5,0.5,0.4666666666666667,pass_spatial,pass_spatial,True,True
lasso,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,15,0.9510262882344304,0.9481648231981356,1.0,1.0,1.0,1.0,0.1713846995971866,0.0061216252540355,1.0,1.0,0.9333333333333332,pass_spatial,pass_spatial,True,True
lasso,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_spatial,True,15,0.9795306247910294,0.9785176911026952,0.0,0.0,0.8666666666666667,0.0,0.0350495630731453,0.0017554970332918,1.0,1.0,0.9333333333333332,abundance_only_or_fail,abundance_only_or_fail,True,False
lasso,tnbc_wang2023,motif_cd8_high,control,False,False,fail_control,False,15,0.9772897004106226,0.9752298485299818,0.0,0.2,0.9333333333333332,0.0,0.00217324243791,-7.536397152105856e-05,0.5,0.6,0.4,fail_control,fail_control,True,False
