task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,verdict,dataset,selected,lasso_ok,shap_ok
motif_tumor_high,control,15,0.9721066973045724,0.9729267388048382,1.0,1.0,1.0,1.0,0.0259039210390665,0.0001062054926519,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,True,True,True
motif_cd8_high,control,15,0.965479166824133,0.9506759715688374,1.0,1.0,1.0,1.0,0.0596678527729555,0.0006640671992543,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,False,True,True
motif_t_tumor_mixing,spatial,15,0.8804172395580807,0.8832423194389634,1.0,1.0,1.0,1.0,0.0491823389360193,0.0005266670220123,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,True,True
motif_cd8_tumor_contact,spatial,15,0.8757017183602076,0.8810976088249568,1.0,1.0,1.0,1.0,0.0454954133502499,0.002042428511625,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,True,True
motif_macrophage_tumor_niche,spatial,15,0.7913776079784736,0.7899695820827977,1.0,1.0,1.0,1.0,0.0984478229884034,0.0038940632740482,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,True,True
motif_apc_t_contact,spatial,15,0.6806886142837433,0.6839872439309251,1.0,1.0,0.9333333333333332,0.9333333333333332,0.080998045998593,0.0025400963650254,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,True,True
motif_tumor_high,control,15,0.9713954706648246,0.9730954687076347,1.0,1.0,0.8666666666666667,0.8666666666666667,0.017807976132421,0.0025384718186073,1.0,1.0,0.9333333333333332,pass_control,pass_control,pass_control,hnc_wu2022,False,True,True
motif_cd8_high,control,15,0.9879110757777564,0.9894210856148462,1.0,1.0,1.0,1.0,0.0267877206533014,0.000982246654658,1.0,1.0,0.9333333333333332,pass_control,pass_control,pass_control,hnc_wu2022,False,True,True
motif_cd8_clustering,spatial,15,0.9510262882344304,0.9481648231981356,1.0,1.0,1.0,1.0,0.1713846995971866,0.0061216252540355,1.0,1.0,0.9333333333333332,pass_spatial,pass_spatial,pass_spatial,hnc_wu2022,True,True,True
motif_immune_exclusion,spatial,15,0.9795306247910294,0.9785176911026952,0.0,0.0,0.8666666666666667,0.0,0.0350495630731453,0.0017554970332918,1.0,1.0,0.9333333333333332,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True,False,False
motif_tumor_high,control,15,0.9672023419648752,0.9680316449844992,1.0,1.0,0.8,0.8,0.0035829734471945,0.0001832882976802,0.5,0.6,0.4,pass_control,pass_control,pass_control,tnbc_wang2023,False,True,True
motif_cd8_high,control,15,0.9772897004106226,0.9752298485299818,0.0,0.2,0.9333333333333332,0.0,0.00217324243791,-7.536397152105856e-05,0.5,0.6,0.4,fail_control,fail_control,fail_control,tnbc_wang2023,True,False,False
motif_tumor_high,control,15,0.982299852583794,0.9832602459370388,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0107760483796446,0.0003179129889704,0.5,0.5,0.4666666666666667,pass_control,pass_control,pass_control,bc_metabric_ali2020,False,True,True
motif_cd8_high,control,15,0.9609184206676552,0.9543877750290348,0.0,0.0,1.0,0.0,0.0228082231022739,0.0012557044457551,0.5,0.5,0.4666666666666667,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,False,False
motif_tumor_stroma_mixing,spatial,15,0.8721206303099582,0.873742112677661,1.0,1.0,1.0,1.0,0.0506704685325069,0.0020285371034636,0.5,0.5,0.4666666666666667,pass_spatial,pass_spatial,fail_control_block,bc_metabric_ali2020,True,True,True
motif_interface_immune,spatial,15,0.5865776068687947,0.5847062845164773,0.0,0.0,0.5333333333333333,0.0,0.0094604101325502,0.0019130476538492,0.5,0.5,0.4666666666666667,abundance_only_or_fail,abundance_only_or_fail,fail_control_block,bc_metabric_ali2020,True,False,False
