task,kind,explainer,n_folds,mean_auc,frac_auc_passed,mean_loc_auprc,mean_loc_auprc2,mean_loc_enrichment,frac_loc_passed,mean_aupc_morf,mean_aupc_lerf,mean_delta_lerf_morf,frac_faith_passed,control_auc_frac,control_loc_frac,control_frac_passed,loc_verdict,faith_verdict,verdict,p_morf_lt_random,dataset,selected,combo
motif_apc_t_contact,spatial,ig,15,0.5928677887357765,0.5333333333333333,0.4218677720311456,0.4085070463338723,1.255021273933731,0.0,0.1772710597343847,0.7952686539236835,0.6179975941892986,0.5333333333333333,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,1.0118020946501876e-08,bc_jackson2020,True,composition_mixing
motif_cd8_high,control,ig,15,0.8267351900104241,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,fail_control,fail_control,fail_control,,bc_jackson2020,False,composition_mixing
motif_cd8_tumor_contact,spatial,ig,15,0.6783878754030727,0.8,0.49271889141143,0.3944604901690969,1.3298020453529813,0.2666666666666666,0.2172503010201424,0.7781142461746359,0.5608639451544936,0.8,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,3.22560639569446e-12,bc_jackson2020,True,composition_mixing
motif_macrophage_tumor_niche,spatial,ig,15,0.5348647141655056,0.1333333333333333,0.4249931776193625,0.3962224435599046,1.7584837567431548,0.1333333333333333,0.1969327379878612,0.8618158732709442,0.6648831352830828,0.1333333333333333,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,0.0132168364312878,bc_jackson2020,True,composition_mixing
motif_t_tumor_mixing,spatial,ig,15,0.6704038774193316,0.9333333333333332,0.469517809332677,0.3792457115952738,1.2111971343599697,0.0666666666666666,0.2091771288730711,0.8264779875875901,0.6173008587145191,0.9333333333333332,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,4.651557928018959e-14,bc_jackson2020,True,composition_mixing
motif_tumor_high,control,ig,15,0.8273348361026266,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,fail_control,fail_control,fail_control,,bc_jackson2020,True,composition_mixing
motif_cd8_clustering,spatial,ig,15,0.7318662003304972,0.9333333333333332,0.3917163669797263,0.281032504362894,3.192956560442947,0.9333333333333332,0.1663672920535962,0.8047392457146463,0.63837195366105,0.9333333333333332,0.2666666666666666,0.2666666666666666,0.2666666666666666,fail_control_block,fail_control_block,fail_control_block,1.0361928837156471e-10,hnc_wu2022,True,composition_mixing
motif_cd8_high,control,ig,15,0.8618096646531102,0.0666666666666666,0.613114022677582,0.6438161229358804,1.8034158022515152,0.0666666666666666,0.1909093113230029,0.6096092542688901,0.4186999429458872,0.0666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,fail_control,fail_control,fail_control,,hnc_wu2022,False,composition_mixing
motif_immune_exclusion,spatial,ig,15,0.8045144141901969,1.0,0.3569464320394763,0.4931275179264727,2.479341789014848,1.0,0.1530930440254902,0.8205806828862684,0.6674876388607779,1.0,0.2666666666666666,0.2666666666666666,0.2666666666666666,fail_control_block,fail_control_block,fail_control_block,1.022651475708955e-12,hnc_wu2022,True,composition_mixing
motif_tumor_high,control,ig,15,0.8886991746787627,0.4666666666666667,0.7802421186392604,0.7657690174915993,2.451249253926082,0.4666666666666667,0.1708076642729892,0.8220422562757864,0.6512345920027973,0.4666666666666667,0.2666666666666666,0.2666666666666666,0.2666666666666666,fail_control,fail_control,fail_control,2.0800111031547658e-06,hnc_wu2022,False,composition_mixing
