combo,explainer,dataset,task,kind,mean_auc,frac_auc_passed,frac_loc_passed,frac_faith_passed,mean_loc_enrichment,mean_delta_lerf_morf,native_verdict
composition_mixing,ig,bc_jackson2020,motif_apc_t_contact,spatial,0.5928677887357765,0.5333333333333333,0.0,0.5333333333333333,1.255021273933731,0.6179975941892986,fail_control_block
composition_mixing,ig,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.6783878754030727,0.8,0.2666666666666666,0.8,1.3298020453529813,0.5608639451544936,fail_control_block
composition_mixing,ig,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.5348647141655056,0.1333333333333333,0.1333333333333333,0.1333333333333333,1.7584837567431548,0.6648831352830828,fail_control_block
composition_mixing,ig,bc_jackson2020,motif_t_tumor_mixing,spatial,0.6704038774193316,0.9333333333333332,0.0666666666666666,0.9333333333333332,1.2111971343599697,0.6173008587145191,fail_control_block
composition_mixing,ig,bc_jackson2020,motif_tumor_high,control,0.8273348361026266,0.0,0.0,0.0,,,fail_control
composition_mixing,ig,bc_metabric_ali2020,motif_interface_immune,spatial,0.5553889350137496,0.2,0.1333333333333333,0.2,1.4869244921162483,0.655420318667422,fail_control_block
composition_mixing,ig,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.6283756236293655,0.7333333333333333,0.0,0.7333333333333333,1.2559668878917627,0.5989159960751244,fail_control_block
composition_mixing,ig,hnc_wu2022,motif_cd8_clustering,spatial,0.7318662003304972,0.9333333333333332,0.9333333333333332,0.9333333333333332,3.192956560442947,0.63837195366105,fail_control_block
composition_mixing,ig,hnc_wu2022,motif_immune_exclusion,spatial,0.8045144141901969,1.0,1.0,1.0,2.479341789014848,0.6674876388607779,fail_control_block
composition_mixing,ig,tnbc_wang2023,motif_cd8_high,control,0.8668115133163686,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.6552311830827886,0.3792953518082768,fail_control
mixing,ig,bc_jackson2020,motif_apc_t_contact,spatial,0.6103353176395057,0.6666666666666666,0.0,0.6666666666666666,1.1127329409076858,0.6328545923602682,fail_control_block
mixing,ig,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.6640276918994851,0.8,0.2,0.8,1.3069823564266094,0.5809505923625267,fail_control_block
mixing,ig,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.5328442066652267,0.2,0.2,0.2,1.9385727222995628,0.7008907574194776,fail_control_block
mixing,ig,bc_jackson2020,motif_t_tumor_mixing,spatial,0.6692430465411376,0.9333333333333332,0.0,0.9333333333333332,1.1907025857372768,0.6240962568652849,fail_control_block
mixing,ig,bc_jackson2020,motif_tumor_high,control,0.8223542514412585,0.0,0.0,0.0,,,fail_control
mixing,ig,bc_metabric_ali2020,motif_interface_immune,spatial,0.5473346270661961,0.1333333333333333,0.0666666666666666,0.1333333333333333,1.5693383369865836,0.6579088457763953,fail_control_block
mixing,ig,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.626737002180304,0.7333333333333333,0.0,0.7333333333333333,1.2284014056781674,0.6236849188109352,fail_control_block
mixing,ig,hnc_wu2022,motif_cd8_clustering,spatial,0.7206252738709622,1.0,1.0,1.0,3.0535313074012675,0.659256040531947,fail_control_block
mixing,ig,hnc_wu2022,motif_immune_exclusion,spatial,0.7963226699562597,1.0,1.0,1.0,2.4710131095004475,0.6727554364364638,fail_control_block
mixing,ig,tnbc_wang2023,motif_cd8_high,control,0.8672033639128475,0.1333333333333333,0.1333333333333333,0.1333333333333333,1.6994864631056084,0.4676141571701439,fail_control
mixing_celltype_density,ig,bc_jackson2020,motif_apc_t_contact,spatial,0.6083670590997095,0.5333333333333333,0.0,0.5333333333333333,1.3278909409483903,0.6283796116552812,fail_control_block
mixing_celltype_density,ig,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.6704409552898877,0.8,0.2666666666666666,0.8,1.302045554489844,0.5717097613280615,fail_control_block
mixing_celltype_density,ig,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.5432685550313695,0.2,0.2,0.2,1.722854058081534,0.6646499698343779,fail_control_block
mixing_celltype_density,ig,bc_jackson2020,motif_t_tumor_mixing,spatial,0.6799567164678612,0.9333333333333332,0.0,0.9333333333333332,1.2224135948248371,0.6094308438822906,fail_control_block
mixing_celltype_density,ig,bc_jackson2020,motif_tumor_high,control,0.826977864668795,0.0666666666666666,0.0666666666666666,0.0666666666666666,2.0179346166468664,0.4558306775449569,fail_control
mixing_celltype_density,ig,bc_metabric_ali2020,motif_interface_immune,spatial,0.5561850324982972,0.2666666666666666,0.2666666666666666,0.2666666666666666,1.5912441237567043,0.6181034985270439,fail_control_block
mixing_celltype_density,ig,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.6357149039398533,0.8,0.0,0.8,1.2500782197524627,0.6150473834393351,fail_control_block
mixing_celltype_density,ig,hnc_wu2022,motif_cd8_clustering,spatial,0.7204124215685578,0.9333333333333332,0.9333333333333332,0.9333333333333332,3.3932377583722437,0.6442849827710049,fail_control_block
mixing_celltype_density,ig,hnc_wu2022,motif_immune_exclusion,spatial,0.7912379234236909,1.0,1.0,1.0,2.524079175443206,0.6794703743870774,fail_control_block
mixing_celltype_density,ig,tnbc_wang2023,motif_cd8_high,control,0.8677761006898052,0.1333333333333333,0.1333333333333333,0.1333333333333333,1.733667729096804,0.4678244806768856,fail_control
