dataset,task,kind,composition_raw,composition_verdict,mixing_raw,mixing_verdict,celltype_density_raw,celltype_density_verdict,composition_mixing_raw,composition_mixing_verdict,composition_celltype_density_raw,composition_celltype_density_verdict,mixing_celltype_density_raw,mixing_celltype_density_verdict
bc_jackson2020,motif_apc_t_contact,spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial
bc_jackson2020,motif_cd8_tumor_contact,spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial
bc_jackson2020,motif_macrophage_tumor_niche,spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial
bc_jackson2020,motif_t_tumor_mixing,spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_spatial
bc_jackson2020,motif_tumor_high,control,pass,pass_control,pass,pass_control,pass,pass_control,pass,pass_control,pass,pass_control,pass,pass_control
bc_metabric_ali2020,motif_interface_immune,spatial,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block
bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block
hnc_wu2022,motif_cd8_clustering,spatial,pass,pass_spatial,fail,fail_control_block,pass,fail_control_block,fail,fail_control_block,pass,fail_control_block,fail,fail_control_block
hnc_wu2022,motif_immune_exclusion,spatial,pass,pass_spatial,fail,fail_control_block,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block
tnbc_wang2023,motif_cd8_high,control,pass,pass_control,pass,pass_control,pass,pass_control,pass,pass_control,fail,fail_control,pass,pass_control
