task,kind,explainer,n_folds,mean_auc,frac_auc_passed,mean_loc_auprc,mean_loc_auprc2,mean_loc_enrichment,frac_loc_passed,mean_aupc_morf,mean_aupc_lerf,mean_delta_lerf_morf,frac_faith_passed,control_auc_frac,control_loc_frac,control_frac_passed,loc_verdict,faith_verdict,verdict,p_morf_lt_random,dataset,selected,combo
motif_apc_t_contact,spatial,attention,15,0.6019790325846818,0.5333333333333333,0.311260335875438,0.3036931445832848,0.4235407822944579,0.0,0.3503680179400287,0.5161987253616838,0.1658307074216551,0.5333333333333333,1.0,1.0,1.0,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,1.0814401924448486e-06,bc_jackson2020,True,composition
motif_cd8_high,control,attention,15,0.9404275198653292,1.0,0.7705440564566852,0.7303115803251772,2.172915765892585,1.0,0.3495180311040074,0.6344593778262273,0.2849413467222199,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,2.8952793753792985e-14,bc_jackson2020,False,composition
motif_cd8_tumor_contact,spatial,attention,15,0.8130867774847903,1.0,0.509263421968215,0.5221850083967158,1.204726983945301,0.1333333333333333,0.785850468161833,0.5502554031819922,-0.2355950649798409,0.0,1.0,1.0,1.0,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.9999999999719592,bc_jackson2020,True,composition
motif_macrophage_tumor_niche,spatial,attention,15,0.6987163123917506,1.0,0.4701225260266742,0.4755330907317629,1.9543672750306076,0.7333333333333333,0.7110188756548352,0.4682738439736221,-0.2427450316812132,0.0,1.0,1.0,1.0,pass_spatial,unfaithful_or_fail,looks_biological_unfaithful,0.9999999999993242,bc_jackson2020,True,composition
motif_t_tumor_mixing,spatial,attention,15,0.8012024834949976,1.0,0.4992864039797689,0.5092841927599362,1.1126684334891914,0.0666666666666666,0.7813037463186026,0.5384626244566423,-0.2428411218619602,0.0,1.0,1.0,1.0,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.999999999996088,bc_jackson2020,True,composition
motif_tumor_high,control,attention,15,0.9710136187037276,1.0,0.6359671372734147,0.5820750779109035,1.7408026447203462,1.0,0.3803724866260237,0.5547799011861649,0.1744074145601412,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,5.349741687405427e-10,bc_jackson2020,True,composition
motif_apc_t_contact,spatial,ig,15,0.6019790325846818,0.5333333333333333,0.3320318842395145,0.3346600295917789,0.6043046358962301,0.0,0.3540155485534931,0.6022002440743953,0.2481846955209021,0.5333333333333333,1.0,1.0,1.0,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,3.611717491545853e-07,bc_jackson2020,True,composition
motif_cd8_high,control,ig,15,0.9404275198653292,1.0,0.7609052723895001,0.742832946437148,2.0387156310539907,1.0,0.3602703131320083,0.658266654285616,0.2979963411536077,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,1.1697591742804577e-13,bc_jackson2020,False,composition
motif_cd8_tumor_contact,spatial,ig,15,0.8130867774847903,1.0,0.5631977228113372,0.4581153938103421,1.5849176363652575,0.7333333333333333,0.4532221476107929,0.7912130680785029,0.3379909204677101,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,5.01460412189717e-14,bc_jackson2020,True,composition
motif_macrophage_tumor_niche,spatial,ig,15,0.6987163123917506,1.0,0.4561153104953704,0.397774110196192,2.089725750570058,1.0,0.3872992676608917,0.7038552625477883,0.3165559948868965,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,3.4090630901360545e-14,bc_jackson2020,True,composition
motif_t_tumor_mixing,spatial,ig,15,0.8012024834949976,1.0,0.5638164403762952,0.4544594767381579,1.5510140679031843,0.6666666666666666,0.4400683975649985,0.7763525178850885,0.33628412032009,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,6.502841394097726e-14,bc_jackson2020,True,composition
motif_tumor_high,control,ig,15,0.9710136187037276,1.0,0.971854891841155,0.959131957930234,2.8172580222538923,1.0,0.269679212705297,0.715955897293746,0.446276684588449,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,1.8115309304648005e-14,bc_jackson2020,True,composition
motif_apc_t_contact,spatial,one_removed,15,0.6019790325846818,0.5333333333333333,0.3516946469456166,0.3507462859219528,0.6709615486620641,0.0,0.3916772652271382,0.6067842578259084,0.2151069925987702,0.5333333333333333,1.0,1.0,1.0,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,2.3557707136549425e-07,bc_jackson2020,True,composition
motif_cd8_high,control,one_removed,15,0.9404275198653292,1.0,0.7213920337162125,0.6579968799591905,2.3186830550996524,1.0,0.4749975016789108,0.686008266586668,0.2110107649077572,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,6.177434842172747e-13,bc_jackson2020,False,composition
motif_cd8_tumor_contact,spatial,one_removed,15,0.8130867774847903,1.0,0.5366075370694071,0.4242283824824194,1.3837698528360032,0.5333333333333333,0.4401697826442223,0.7155128078742435,0.2753430252300212,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,1.1662661946841915e-14,bc_jackson2020,True,composition
motif_macrophage_tumor_niche,spatial,one_removed,15,0.6987163123917506,1.0,0.4943130314250342,0.4080489451981409,2.2676391117632275,0.9333333333333332,0.3546560956905537,0.6252343054879598,0.270578209797406,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,3.2359779679942094e-14,bc_jackson2020,True,composition
motif_t_tumor_mixing,spatial,one_removed,15,0.8012024834949976,1.0,0.5275868288382929,0.4198611823606811,1.2964069597882302,0.3333333333333333,0.4276041844812928,0.704129843222202,0.2765256587409092,1.0,1.0,1.0,1.0,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,3.0507109929492232e-15,bc_jackson2020,True,composition
motif_tumor_high,control,one_removed,15,0.9710136187037276,1.0,0.9258102026484064,0.8964910075799121,2.719493277634937,1.0,0.3035954263103692,0.7044445219641052,0.4008490956537359,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,3.068992303008059e-13,bc_jackson2020,True,composition
