method,n_control,n_control_passed,n_spatial,n_spatial_blocked,n_spatial_scored,n_spatial_passed_protocol,n_spatial_passed_raw,control_ok,protocol_spatial,raw_spatial,protocol_control,combo,explainer
mil_composition_attention,2,2,8,2,6,2,2,True,2/6,2/8,2/2,composition,attention
mil_composition_ig,2,2,8,2,6,5,5,True,5/6,5/8,2/2,composition,ig
mil_composition_one_removed,2,2,8,2,6,4,4,True,4/6,4/8,2/2,composition,one_removed
mil_composition_random,2,0,8,8,0,0,0,False,0/8,0/8,0/2,composition,random
mil_composition_single,2,2,8,2,6,2,2,True,2/6,2/8,2/2,composition,single
mil_mixing_attention,2,2,8,4,4,0,0,True,0/4,0/8,2/2,mixing,attention
mil_mixing_ig,2,2,8,2,6,2,2,True,2/6,2/8,2/2,mixing,ig
mil_mixing_one_removed,2,2,8,2,6,2,2,True,2/6,2/8,2/2,mixing,one_removed
mil_mixing_random,2,0,8,8,0,0,0,False,0/8,0/8,0/2,mixing,random
mil_mixing_single,2,2,8,2,6,2,2,True,2/6,2/8,2/2,mixing,single
mil_celltype_density_attention,2,2,8,4,4,0,2,True,0/4,2/8,2/2,celltype_density,attention
mil_celltype_density_ig,2,2,8,2,6,4,4,True,4/6,4/8,2/2,celltype_density,ig
mil_celltype_density_one_removed,2,2,8,2,6,4,4,True,4/6,4/8,2/2,celltype_density,one_removed
mil_celltype_density_random,2,0,8,8,0,0,0,False,0/8,0/8,0/2,celltype_density,random
mil_celltype_density_single,2,2,8,2,6,2,2,True,2/6,2/8,2/2,celltype_density,single
mil_composition_mixing_attention,2,2,8,4,4,0,1,True,0/4,1/8,2/2,composition_mixing,attention
mil_composition_mixing_ig,2,2,8,2,6,2,3,True,2/6,3/8,2/2,composition_mixing,ig
mil_composition_mixing_one_removed,2,2,8,2,6,2,2,True,2/6,2/8,2/2,composition_mixing,one_removed
mil_composition_mixing_random,2,0,8,8,0,0,0,False,0/8,0/8,0/2,composition_mixing,random
mil_composition_mixing_single,2,2,8,2,6,2,3,True,2/6,3/8,2/2,composition_mixing,single
mil_composition_celltype_density_attention,2,1,8,4,4,0,2,False,0/4,2/8,1/2,composition_celltype_density,attention
mil_composition_celltype_density_ig,2,2,8,2,6,5,5,True,5/6,5/8,2/2,composition_celltype_density,ig
mil_composition_celltype_density_one_removed,2,2,8,2,6,5,5,True,5/6,5/8,2/2,composition_celltype_density,one_removed
mil_composition_celltype_density_random,2,0,8,8,0,0,0,False,0/8,0/8,0/2,composition_celltype_density,random
mil_composition_celltype_density_single,2,2,8,2,6,2,2,True,2/6,2/8,2/2,composition_celltype_density,single
mil_mixing_celltype_density_attention,2,2,8,4,4,0,1,True,0/4,1/8,2/2,mixing_celltype_density,attention
mil_mixing_celltype_density_ig,2,2,8,2,6,2,3,True,2/6,3/8,2/2,mixing_celltype_density,ig
mil_mixing_celltype_density_one_removed,2,2,8,2,6,2,3,True,2/6,3/8,2/2,mixing_celltype_density,one_removed
mil_mixing_celltype_density_random,2,0,8,8,0,0,0,False,0/8,0/8,0/2,mixing_celltype_density,random
mil_mixing_celltype_density_single,2,2,8,2,6,2,3,True,2/6,3/8,2/2,mixing_celltype_density,single
