method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,mean_auc,frac_auc_passed,frac_loc_passed,frac_faith_passed,mean_loc_enrichment,mean_delta_lerf_morf,native_verdict,loc_verdict,faith_verdict,combo,explainer
mil_composition_attention,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.6019790325846818,0.5333333333333333,0.0,0.5333333333333333,0.4235407822944579,0.1658307074216551,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,attention
mil_composition_attention,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_spatial,True,0.8130867774847903,1.0,0.1333333333333333,0.0,1.204726983945301,-0.2355950649798409,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,attention
mil_composition_attention,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,0.6987163123917506,1.0,0.7333333333333333,0.0,1.9543672750306076,-0.2427450316812132,looks_biological_unfaithful,pass_spatial,unfaithful_or_fail,composition,attention
mil_composition_attention,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,0.8012024834949976,1.0,0.0666666666666666,0.0,1.1126684334891914,-0.2428411218619602,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,attention
mil_composition_attention,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9710136187037276,1.0,1.0,1.0,1.7408026447203462,0.1744074145601412,pass_control,pass_control,pass_control,composition,attention
mil_composition_attention,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.5730730164126139,0.3333333333333333,0.0666666666666666,0.3333333333333333,1.2034499302137205,0.1778191231690373,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,attention
mil_composition_attention,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7660506554651324,1.0,0.0666666666666666,0.0,1.4740993486828735,-0.2430955112385268,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,attention
mil_composition_attention,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,0.8950886314152133,1.0,1.0,1.0,5.144839708618645,0.3641989912818422,pass_spatial,pass_spatial,pass_spatial,composition,attention
mil_composition_attention,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,0.8824999635348029,1.0,0.9333333333333332,1.0,2.170710882529057,0.3273278892024838,pass_spatial,pass_spatial,pass_spatial,composition,attention
mil_composition_attention,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,0.964788278879704,1.0,0.8,0.9333333333333332,1.770796078177116,0.1562408446721348,pass_control,pass_control,pass_control,composition,attention
mil_composition_ig,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.6019790325846818,0.5333333333333333,0.0,0.5333333333333333,0.6043046358962301,0.2481846955209021,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,ig
mil_composition_ig,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,True,pass_spatial,True,0.8130867774847903,1.0,0.7333333333333333,1.0,1.5849176363652575,0.3379909204677101,pass_spatial,pass_spatial,pass_spatial,composition,ig
mil_composition_ig,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,True,pass_spatial,True,0.6987163123917506,1.0,1.0,1.0,2.089725750570058,0.3165559948868965,pass_spatial,pass_spatial,pass_spatial,composition,ig
mil_composition_ig,bc_jackson2020,motif_t_tumor_mixing,spatial,True,True,pass_spatial,True,0.8012024834949976,1.0,0.6666666666666666,1.0,1.5510140679031843,0.33628412032009,pass_spatial,pass_spatial,pass_spatial,composition,ig
mil_composition_ig,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9710136187037276,1.0,1.0,1.0,2.8172580222538923,0.446276684588449,pass_control,pass_control,pass_control,composition,ig
mil_composition_ig,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.5730730164126139,0.3333333333333333,0.0,0.3333333333333333,1.2181801888440886,0.354432416809796,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,ig
mil_composition_ig,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7660506554651324,1.0,0.4666666666666667,1.0,1.571695774553025,0.3361492317096838,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,ig
mil_composition_ig,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,0.8950886314152133,1.0,1.0,1.0,4.758504645762516,0.4158900373130693,pass_spatial,pass_spatial,pass_spatial,composition,ig
mil_composition_ig,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,0.8824999635348029,1.0,1.0,1.0,2.6588296303116974,0.5657936258435285,pass_spatial,pass_spatial,pass_spatial,composition,ig
mil_composition_ig,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,0.964788278879704,1.0,1.0,1.0,2.223478281779402,0.3169835451066983,pass_control,pass_control,pass_control,composition,ig
mil_composition_one_removed,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.6019790325846818,0.5333333333333333,0.0,0.5333333333333333,0.6709615486620641,0.2151069925987702,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,one_removed
mil_composition_one_removed,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,True,pass_spatial,True,0.8130867774847903,1.0,0.5333333333333333,1.0,1.3837698528360032,0.2753430252300212,pass_spatial,pass_spatial,pass_spatial,composition,one_removed
mil_composition_one_removed,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,True,pass_spatial,True,0.6987163123917506,1.0,0.9333333333333332,1.0,2.2676391117632275,0.270578209797406,pass_spatial,pass_spatial,pass_spatial,composition,one_removed
mil_composition_one_removed,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,0.8012024834949976,1.0,0.3333333333333333,1.0,1.2964069597882302,0.2765256587409092,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,one_removed
mil_composition_one_removed,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9710136187037276,1.0,1.0,1.0,2.719493277634937,0.4008490956537359,pass_control,pass_control,pass_control,composition,one_removed
mil_composition_one_removed,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.5730730164126139,0.3333333333333333,0.0,0.3333333333333333,1.1851700418821434,0.3163753874075087,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,one_removed
mil_composition_one_removed,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7660506554651324,1.0,0.1333333333333333,1.0,1.243434005895095,0.2795042217708484,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,composition,one_removed
mil_composition_one_removed,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,0.8950886314152133,1.0,1.0,1.0,4.301567410956706,0.3166058963149212,pass_spatial,pass_spatial,pass_spatial,composition,one_removed
mil_composition_one_removed,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,0.8824999635348029,1.0,1.0,1.0,2.474951092620934,0.4462490444364144,pass_spatial,pass_spatial,pass_spatial,composition,one_removed
mil_composition_one_removed,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,0.964788278879704,1.0,1.0,1.0,2.108763699709613,0.2281761120553143,pass_control,pass_control,pass_control,composition,one_removed
mil_composition_random,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_control_block,False,0.6019790325846818,0.5333333333333333,0.0,0.0,0.9491812064061644,0.0023671938966214,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_control_block,False,0.8130867774847903,1.0,0.0,0.0,0.9822926800020872,0.0024731262087944,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_control_block,False,0.6987163123917506,1.0,0.0,0.0,0.9888740117517298,0.0055178205420688,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_control_block,False,0.8012024834949976,1.0,0.0,0.0,1.017217469990417,-0.0026849920177008,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,bc_jackson2020,motif_tumor_high,control,False,False,fail_control,False,0.9710136187037276,1.0,0.0,0.0,1.0176034714310258,0.0005435866661972,fail_control,fail_control,fail_control,composition,random
mil_composition_random,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.5730730164126139,0.3333333333333333,0.0,0.0,0.9723118373967572,0.0027585388531769,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7660506554651324,1.0,0.0,0.0,0.9885148358665916,0.0047203193368297,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,hnc_wu2022,motif_cd8_clustering,spatial,False,False,fail_control_block,False,0.8950886314152133,1.0,0.0,0.0,0.9701513572630128,0.0017211005247121,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
mil_composition_random,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_control_block,False,0.8824999635348029,1.0,0.0,0.0,0.9866286098333364,-0.0081558619593137,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,composition,random
