dataset,task,kind,lasso_raw,lasso_verdict,shap_raw,shap_verdict,utag_cellular_raw,utag_cellular_verdict,kronos_raw,kronos_verdict,eva_raw,eva_verdict,gnn_explainer_raw,gnn_explainer_verdict
bc_jackson2020,motif_apc_t_contact,spatial,pass,pass_spatial,pass,pass_spatial,fail,fail_spatial,fail,fail_control_block,pass,fail_control_block,fail,fail_control_block
bc_jackson2020,motif_cd8_tumor_contact,spatial,pass,pass_spatial,pass,pass_spatial,fail,fail_spatial,pass,fail_control_block,pass,fail_control_block,fail,fail_control_block
bc_jackson2020,motif_macrophage_tumor_niche,spatial,pass,pass_spatial,pass,pass_spatial,fail,fail_spatial,fail,fail_control_block,pass,fail_control_block,fail,fail_control_block
bc_jackson2020,motif_t_tumor_mixing,spatial,pass,pass_spatial,pass,pass_spatial,fail,fail_spatial,pass,fail_control_block,pass,fail_control_block,fail,fail_control_block
bc_jackson2020,motif_tumor_high,control,pass,pass_control,pass,pass_control,pass,pass_control,fail,fail_control,pass,pass_control,fail,fail_control
bc_metabric_ali2020,motif_interface_immune,spatial,fail,fail_control_block,fail,fail_control_block,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block,fail,fail_control_block
bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,pass,fail_control_block,pass,fail_control_block,fail,fail_control_block,fail,fail_control_block,pass,fail_control_block,fail,fail_control_block
hnc_wu2022,motif_cd8_clustering,spatial,pass,pass_spatial,pass,pass_spatial,fail,fail_control_block,pass,fail_control_block,pass,fail_control_block,fail,fail_control_block
hnc_wu2022,motif_immune_exclusion,spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_control_block,pass,fail_control_block,pass,fail_control_block,fail,fail_control_block
tnbc_wang2023,motif_cd8_high,control,fail,fail_control,fail,fail_control,pass,pass_control,pass,pass_control,fail,fail_control,fail,fail_control
