family,dataset,task,kind,mean_auc_lasso,mean_auc_ridge,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,joint_mean_auc_lasso,joint_mean_auc_ridge,joint_frac_lasso_passed,joint_frac_shap_passed
composition,bc_jackson2020,motif_apc_t_contact,spatial,0.5717185200735425,0.5712983642630943,0.0,0.0,0.8,0.6839872439309251,0.6806886142837433,1.0,1.0
composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.6763041836517618,0.6760383290260659,0.0,0.0,0.8,0.8810976088249568,0.8757017183602076,1.0,1.0
composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.529402852849636,0.5286581568195501,0.0,0.0,0.5333333333333333,0.7899695820827977,0.7913776079784736,1.0,1.0
composition,bc_jackson2020,motif_t_tumor_mixing,spatial,0.6901418931418836,0.6898387872894419,0.0,0.0,0.6666666666666666,0.8832423194389634,0.8804172395580807,1.0,1.0
composition,bc_jackson2020,motif_tumor_high,control,0.9993577674536034,0.9994184247676844,1.0,1.0,1.0,0.9729267388048382,0.9721066973045724,1.0,1.0
composition,bc_metabric_ali2020,motif_interface_immune,spatial,0.5804979563594476,0.5807521760091242,0.0,0.0,0.6,0.5847062845164773,0.5865776068687947,0.0,0.0
composition,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.5941731772700742,0.592093234779858,0.0,0.0,0.9333333333333332,0.873742112677661,0.8721206303099582,1.0,1.0
composition,hnc_wu2022,motif_cd8_clustering,spatial,0.6041898769112329,0.6053046521563008,0.0,0.0,0.5333333333333333,0.9481648231981356,0.9510262882344304,1.0,1.0
composition,hnc_wu2022,motif_immune_exclusion,spatial,0.6383647328073095,0.6368916252911596,0.0,0.0,0.6666666666666666,0.9785176911026952,0.9795306247910294,0.0,0.0
composition,tnbc_wang2023,motif_cd8_high,control,0.9948206939101858,0.9957069032351534,1.0,1.0,1.0,0.9752298485299818,0.9772897004106226,0.0,0.2
density,bc_jackson2020,motif_apc_t_contact,spatial,0.6268369440929895,0.627208437405527,0.0,0.0,0.6666666666666666,0.6839872439309251,0.6806886142837433,1.0,1.0
density,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.7919947919119508,0.8017512579881354,1.0,1.0,0.8666666666666667,0.8810976088249568,0.8757017183602076,1.0,1.0
density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.6669934064659031,0.680956290991669,0.0,0.0,0.7333333333333333,0.7899695820827977,0.7913776079784736,1.0,1.0
density,bc_jackson2020,motif_t_tumor_mixing,spatial,0.7933428615880918,0.8013563875262392,0.0,0.0,0.9333333333333332,0.8832423194389634,0.8804172395580807,1.0,1.0
density,bc_jackson2020,motif_tumor_high,control,0.9943693471423488,0.995324897943204,1.0,1.0,1.0,0.9729267388048382,0.9721066973045724,1.0,1.0
density,bc_metabric_ali2020,motif_interface_immune,spatial,0.630544177019212,0.6340250674429354,0.4,0.3333333333333333,0.7333333333333333,0.5847062845164773,0.5865776068687947,0.0,0.0
density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.8211622052797417,0.842456872424071,0.0,0.0,1.0,0.873742112677661,0.8721206303099582,1.0,1.0
density,hnc_wu2022,motif_cd8_clustering,spatial,0.6808992940777631,0.6841214279891873,0.0,0.0,0.6,0.9481648231981356,0.9510262882344304,1.0,1.0
density,hnc_wu2022,motif_immune_exclusion,spatial,0.9503845356976744,0.9534161286996434,1.0,1.0,0.9333333333333332,0.9785176911026952,0.9795306247910294,0.0,0.0
density,tnbc_wang2023,motif_cd8_high,control,0.9863681157275304,0.9874327761176974,1.0,1.0,1.0,0.9752298485299818,0.9772897004106226,0.0,0.2
mixing,bc_jackson2020,motif_apc_t_contact,spatial,0.678097593639352,0.6746942745806737,1.0,1.0,1.0,0.6839872439309251,0.6806886142837433,1.0,1.0
mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.8547215192752168,0.8494097561568501,1.0,1.0,1.0,0.8810976088249568,0.8757017183602076,1.0,1.0
mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.8024220275358543,0.7997177443754765,1.0,1.0,1.0,0.7899695820827977,0.7913776079784736,1.0,1.0
mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,0.8521725289187927,0.850438310963519,1.0,1.0,1.0,0.8832423194389634,0.8804172395580807,1.0,1.0
mixing,bc_jackson2020,motif_tumor_high,control,0.9545169711182696,0.9523718973773204,0.0,0.0,0.9333333333333332,0.9729267388048382,0.9721066973045724,1.0,1.0
mixing,bc_metabric_ali2020,motif_interface_immune,spatial,0.5174402033903038,0.5137510121483545,0.0,0.0,0.3333333333333333,0.5847062845164773,0.5865776068687947,0.0,0.0
mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.8201475591263422,0.8132806351937414,1.0,1.0,1.0,0.873742112677661,0.8721206303099582,1.0,1.0
mixing,hnc_wu2022,motif_cd8_clustering,spatial,0.9400311097522962,0.938864801143042,1.0,1.0,1.0,0.9481648231981356,0.9510262882344304,1.0,1.0
