task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,verdict,dataset,selected,family,lasso_ok,shap_ok
motif_tumor_high,control,15,0.9994184247676844,0.9993577674536034,1.0,1.0,1.0,1.0,0.3563550675911523,0.1368857066112385,1.0,1.0,0.9666666666666668,pass_control,pass_control,pass_control,bc_jackson2020,True,composition,True,True
motif_cd8_high,control,15,0.9928489222527236,0.9899628527795192,1.0,1.0,0.9333333333333332,0.9333333333333332,0.479417036766801,0.1518186231703459,1.0,1.0,0.9666666666666668,pass_control,pass_control,pass_control,bc_jackson2020,False,composition,True,True
motif_t_tumor_mixing,spatial,15,0.6898387872894419,0.6901418931418836,0.0,0.0,0.6666666666666666,0.0,0.1389309953696967,0.0758068933743644,1.0,1.0,0.9666666666666668,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,composition,False,False
motif_cd8_tumor_contact,spatial,15,0.6760383290260659,0.6763041836517618,0.0,0.0,0.8,0.0,0.1455046402914119,0.0660713604214371,1.0,1.0,0.9666666666666668,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,composition,False,False
motif_macrophage_tumor_niche,spatial,15,0.5286581568195501,0.529402852849636,0.0,0.0,0.5333333333333333,0.0,0.0128581250489155,0.0021002789665096,1.0,1.0,0.9666666666666668,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,composition,False,False
motif_apc_t_contact,spatial,15,0.5712983642630943,0.5717185200735425,0.0,0.0,0.8,0.0,0.091064354356872,0.0065742687026896,1.0,1.0,0.9666666666666668,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,composition,False,False
motif_tumor_high,control,15,0.9958090863832147,0.9951777388753128,1.0,1.0,1.0,1.0,0.368791267458314,0.1706645647224982,1.0,1.0,0.9333333333333332,pass_control,pass_control,pass_control,hnc_wu2022,False,composition,True,True
motif_cd8_high,control,15,0.9964968158018992,0.9951150732753168,1.0,1.0,0.8666666666666667,0.8666666666666667,0.4753806740093065,0.1791689432676321,1.0,1.0,0.9333333333333332,pass_control,pass_control,pass_control,hnc_wu2022,False,composition,True,True
motif_cd8_clustering,spatial,15,0.6053046521563008,0.6041898769112329,0.0,0.0,0.5333333333333333,0.0,0.0825836848580205,0.0548871746349035,1.0,1.0,0.9333333333333332,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True,composition,False,False
motif_immune_exclusion,spatial,15,0.6368916252911596,0.6383647328073095,0.0,0.0,0.6666666666666666,0.0,0.1151618498888268,0.0698541750021808,1.0,1.0,0.9333333333333332,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True,composition,False,False
motif_tumor_high,control,15,0.9966155414158188,0.9963612097882452,0.0,0.0,0.9333333333333332,0.0,0.1322539284427868,0.0506592250753318,0.5,0.5,0.5,fail_control,fail_control,fail_control,tnbc_wang2023,False,composition,False,False
motif_cd8_high,control,15,0.9957069032351534,0.9948206939101858,1.0,1.0,1.0,1.0,0.4046291902282809,0.0246393810155475,0.5,0.5,0.5,pass_control,pass_control,pass_control,tnbc_wang2023,True,composition,True,True
motif_tumor_high,control,15,0.9969208505389946,0.9963280608155844,0.0,0.0,1.0,0.0,0.3197641776731998,0.0734292518453817,0.5,0.5,0.5,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,composition,False,False
motif_cd8_high,control,15,0.9845947256046949,0.9755710539190486,1.0,1.0,1.0,1.0,0.4349813040846352,0.1241492676799527,0.5,0.5,0.5,pass_control,pass_control,pass_control,bc_metabric_ali2020,False,composition,True,True
motif_tumor_stroma_mixing,spatial,15,0.592093234779858,0.5941731772700742,0.0,0.0,0.9333333333333332,0.0,0.1077296407445739,0.0116792892113196,0.5,0.5,0.5,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_metabric_ali2020,True,composition,False,False
motif_interface_immune,spatial,15,0.5807521760091242,0.5804979563594476,0.0,0.0,0.6,0.0,0.0473331369865153,0.0304518484954536,0.5,0.5,0.5,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_metabric_ali2020,True,composition,False,False
motif_tumor_high,control,15,0.995324897943204,0.9943693471423488,1.0,1.0,1.0,1.0,0.2440933730195004,0.0471904706336882,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,True,density,True,True
motif_cd8_high,control,15,0.966128861867948,0.9589678757499132,1.0,1.0,1.0,1.0,0.4418366162082492,0.0316349625147632,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,False,density,True,True
motif_t_tumor_mixing,spatial,15,0.8013563875262392,0.7933428615880918,0.0,0.0,0.9333333333333332,0.0,0.2119625176407075,0.0718106392872153,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,density,False,False
motif_cd8_tumor_contact,spatial,15,0.8017512579881354,0.7919947919119508,1.0,1.0,0.8666666666666667,0.8666666666666667,0.2384003503466259,0.1256512854777214,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,density,True,True
motif_macrophage_tumor_niche,spatial,15,0.680956290991669,0.6669934064659031,0.0,0.0,0.7333333333333333,0.0,0.1254292030856378,0.0680034087270536,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,density,False,False
motif_apc_t_contact,spatial,15,0.627208437405527,0.6268369440929895,0.0,0.0,0.6666666666666666,0.0,0.0809464304106174,0.037863082073781,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,density,False,False
motif_tumor_high,control,15,0.9953182973021766,0.993655210000084,1.0,1.0,1.0,1.0,0.2983608547204761,0.0669145229592256,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,density,True,True
motif_cd8_high,control,15,0.9905912034794074,0.988776817267636,1.0,1.0,1.0,1.0,0.4921133431644323,0.0701932490067348,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,density,True,True
motif_cd8_clustering,spatial,15,0.6841214279891873,0.6808992940777631,0.0,0.0,0.6,0.0,0.1026740433067469,0.0801810114732224,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True,density,False,False
motif_immune_exclusion,spatial,15,0.9534161286996434,0.9503845356976744,1.0,1.0,0.9333333333333332,0.9333333333333332,0.3809714707035828,0.1517696804834623,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,hnc_wu2022,True,density,True,True
motif_tumor_high,control,15,0.9918383596897709,0.9913907510999576,1.0,1.0,1.0,1.0,0.1202283463963624,0.0127074940846791,1.0,1.0,1.0,pass_control,pass_control,pass_control,tnbc_wang2023,False,density,True,True
motif_cd8_high,control,15,0.9874327761176974,0.9863681157275304,1.0,1.0,1.0,1.0,0.2218436226958272,0.0197431534966351,1.0,1.0,1.0,pass_control,pass_control,pass_control,tnbc_wang2023,True,density,True,True
motif_tumor_high,control,15,0.9958694435037988,0.9956176932673196,1.0,1.0,1.0,1.0,0.2028806194193257,0.0185347102773604,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_metabric_ali2020,False,density,True,True
motif_cd8_high,control,15,0.9684395721683068,0.9576491234130788,1.0,1.0,1.0,1.0,0.378489292823275,0.0462435127380793,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_metabric_ali2020,False,density,True,True
motif_tumor_stroma_mixing,spatial,15,0.842456872424071,0.8211622052797417,0.0,0.0,1.0,0.0,0.2928224463641958,0.1076089115526639,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_metabric_ali2020,True,density,False,False
motif_interface_immune,spatial,15,0.6340250674429354,0.630544177019212,0.4,0.3333333333333333,0.7333333333333333,0.1333333333333333,0.1202102063538845,0.0458460217189159,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_metabric_ali2020,True,density,False,False
motif_tumor_high,control,15,0.9523718973773204,0.9545169711182696,0.0,0.0,0.9333333333333332,0.0,0.0272337912417638,0.0003862089000135,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_jackson2020,True,mixing,False,False
motif_cd8_high,control,15,0.96713817711124,0.9572978004852526,0.0,0.0,1.0,0.0,0.0890434926840815,0.0024785885260321,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_jackson2020,False,mixing,False,False
motif_t_tumor_mixing,spatial,15,0.850438310963519,0.8521725289187927,1.0,1.0,1.0,1.0,0.0846546859438072,-0.0025686500712224,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,mixing,True,True
motif_cd8_tumor_contact,spatial,15,0.8494097561568501,0.8547215192752168,1.0,1.0,1.0,1.0,0.0817775295000095,0.0064344562972034,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,mixing,True,True
motif_macrophage_tumor_niche,spatial,15,0.7997177443754765,0.8024220275358543,1.0,1.0,1.0,1.0,0.0916422184605259,-0.0011797080863608,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,mixing,True,True
motif_apc_t_contact,spatial,15,0.6746942745806737,0.678097593639352,1.0,1.0,1.0,1.0,0.1050933014665778,0.0024630309193967,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,mixing,True,True
motif_tumor_high,control,15,0.9658423877760186,0.9677394575115206,0.0,0.0,0.9333333333333332,0.0,0.0319515892484623,0.0038516777432757,0.0,0.0,0.0,fail_control,fail_control,fail_control,hnc_wu2022,False,mixing,False,False
motif_cd8_high,control,15,0.980581056553985,0.9826067191440424,0.0,0.0,1.0,0.0,0.0643144825899671,0.0014167448474054,0.0,0.0,0.0,fail_control,fail_control,fail_control,hnc_wu2022,False,mixing,False,False
motif_cd8_clustering,spatial,15,0.938864801143042,0.9400311097522962,1.0,1.0,1.0,1.0,0.2088354211827522,0.0080849523908861,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,hnc_wu2022,True,mixing,True,True
motif_immune_exclusion,spatial,15,0.9235330265745068,0.9286916115709308,0.0,0.0,0.9333333333333332,0.0,0.0459746237685934,0.0008673061632196,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,hnc_wu2022,True,mixing,False,False
motif_tumor_high,control,15,0.9573256434167156,0.9586284937075362,0.0,0.0,0.8666666666666667,0.0,0.0016459085722928,0.0001610667158636,0.0,0.0,0.0,fail_control,fail_control,fail_control,tnbc_wang2023,False,mixing,False,False
motif_cd8_high,control,15,0.9742280622486542,0.972291335862925,0.0,0.0,1.0,0.0,0.0044715174903395,-0.0001434080905364,0.0,0.0,0.0,fail_control,fail_control,fail_control,tnbc_wang2023,True,mixing,False,False
motif_tumor_high,control,15,0.9670597296664988,0.9689816942858888,0.0,0.0,0.9333333333333332,0.0,0.0192733155688254,0.0011332799301796,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,mixing,False,False
motif_cd8_high,control,15,0.9383317992439348,0.9304315826935384,0.0,0.0,1.0,0.0,0.047483629829426,0.0022636642256243,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_metabric_ali2020,False,mixing,False,False
motif_tumor_stroma_mixing,spatial,15,0.8132806351937414,0.8201475591263422,1.0,1.0,1.0,1.0,0.0741721234725161,-0.0006757107194254,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_metabric_ali2020,True,mixing,True,True
motif_interface_immune,spatial,15,0.5137510121483545,0.5174402033903038,0.0,0.0,0.3333333333333333,0.0,-0.0004072080408211,-0.0002958221060453,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_metabric_ali2020,True,mixing,False,False
motif_tumor_high,control,15,0.830675802465301,0.8366879404245783,0.0,0.0,0.9333333333333332,0.0,0.137168662902601,0.0309914560014232,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_jackson2020,True,point_pattern,False,False
motif_cd8_high,control,15,0.8877061847948026,0.8894886743353744,0.0,0.0,1.0,0.0,0.4371745561137993,0.0138894330508905,0.0,0.0,0.0,fail_control,fail_control,fail_control,bc_jackson2020,False,point_pattern,False,False
motif_t_tumor_mixing,spatial,15,0.7090429990635506,0.7167636354145116,1.0,1.0,0.8666666666666667,0.8666666666666667,0.0656433391655294,0.0081388994952154,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,point_pattern,True,True
motif_cd8_tumor_contact,spatial,15,0.6818752823658759,0.6918674212458878,0.8,0.8,0.6666666666666666,0.6666666666666666,0.0312998731666165,0.0087155885471333,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,point_pattern,True,True
motif_macrophage_tumor_niche,spatial,15,0.5697535728763177,0.5656851913764738,1.0,1.0,0.4666666666666667,0.4666666666666667,0.0208117924354754,0.0154130693449702,0.0,0.0,0.0,fail_control_block,fail_control_block,fail_control_block,bc_jackson2020,True,point_pattern,True,True
