family,dataset,task,kind,mean_auc_lasso,mean_auc_ridge,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,joint_mean_auc_lasso,joint_mean_auc_ridge,joint_frac_lasso_passed,joint_frac_shap_passed
composition_density,bc_jackson2020,motif_apc_t_contact,spatial,0.6562219324871529,0.655012982440284,0.0,0.0,0.6666666666666666,0.6839872439309251,0.6806886142837433,1.0,1.0
composition_density,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.7735016344744253,0.7742995993516177,1.0,0.8666666666666667,0.8666666666666667,0.8810976088249568,0.8757017183602076,1.0,1.0
composition_density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.6523256962187206,0.6675570569340739,0.0,0.0,0.6666666666666666,0.7899695820827977,0.7913776079784736,1.0,1.0
composition_density,bc_jackson2020,motif_t_tumor_mixing,spatial,0.7776268642715742,0.7799836943468025,0.0,0.0,0.9333333333333332,0.8832423194389634,0.8804172395580807,1.0,1.0
composition_density,bc_jackson2020,motif_tumor_high,control,0.9985957862423668,0.998681827604822,1.0,1.0,1.0,0.9729267388048382,0.9721066973045724,1.0,1.0
composition_density,bc_metabric_ali2020,motif_interface_immune,spatial,0.667195017129883,0.6727117449010656,0.2666666666666666,0.2,0.9333333333333332,0.5847062845164773,0.5865776068687947,0.0,0.0
composition_density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.8201431203447667,0.8264228738236041,0.0,0.0,1.0,0.873742112677661,0.8721206303099582,1.0,1.0
composition_density,hnc_wu2022,motif_cd8_clustering,spatial,0.6888909331394917,0.6947596869660048,0.0,0.0,0.6666666666666666,0.9481648231981356,0.9510262882344304,1.0,1.0
composition_density,hnc_wu2022,motif_immune_exclusion,spatial,0.9526486033498353,0.953367025803717,0.6,0.8666666666666667,1.0,0.9785176911026952,0.9795306247910294,0.0,0.0
composition_density,tnbc_wang2023,motif_cd8_high,control,0.9905319036462416,0.990203526786034,1.0,1.0,1.0,0.9752298485299818,0.9772897004106226,0.0,0.2
composition_mixing,bc_jackson2020,motif_apc_t_contact,spatial,0.6911848323806562,0.6898578550937108,1.0,1.0,0.9333333333333332,0.6839872439309251,0.6806886142837433,1.0,1.0
composition_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.859858266487207,0.8546227985962144,1.0,1.0,1.0,0.8810976088249568,0.8757017183602076,1.0,1.0
composition_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.8077465405796544,0.8068418285202179,1.0,1.0,1.0,0.7899695820827977,0.7913776079784736,1.0,1.0
composition_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,0.8577555080918863,0.8545570564242144,1.0,1.0,0.9333333333333332,0.8832423194389634,0.8804172395580807,1.0,1.0
composition_mixing,bc_jackson2020,motif_tumor_high,control,0.9677884167084864,0.9667498086423916,0.6666666666666666,0.4666666666666667,1.0,0.9729267388048382,0.9721066973045724,1.0,1.0
composition_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,0.5242686605156958,0.5220725354897646,0.0,0.0,0.4,0.5847062845164773,0.5865776068687947,0.0,0.0
composition_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.8283315171181295,0.8211866028207535,1.0,1.0,1.0,0.873742112677661,0.8721206303099582,1.0,1.0
composition_mixing,hnc_wu2022,motif_cd8_clustering,spatial,0.9387598938993168,0.9386639965220896,1.0,1.0,0.9333333333333332,0.9481648231981356,0.9510262882344304,1.0,1.0
composition_mixing,hnc_wu2022,motif_immune_exclusion,spatial,0.9289453962699856,0.9247978693865252,0.0,0.0,1.0,0.9785176911026952,0.9795306247910294,0.0,0.0
composition_mixing,tnbc_wang2023,motif_cd8_high,control,0.9737582063922432,0.9760251118301404,0.0,0.4666666666666667,0.8666666666666667,0.9752298485299818,0.9772897004106226,0.0,0.2
density_mixing,bc_jackson2020,motif_apc_t_contact,spatial,0.7157721700028384,0.7146314468067728,1.0,1.0,1.0,0.6839872439309251,0.6806886142837433,1.0,1.0
density_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.8679437168379741,0.86277095060924,1.0,1.0,1.0,0.8810976088249568,0.8757017183602076,1.0,1.0
density_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.808455534836687,0.8059525739871028,1.0,1.0,1.0,0.7899695820827977,0.7913776079784736,1.0,1.0
density_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,0.8647010077192543,0.8616561101060985,1.0,1.0,0.9333333333333332,0.8832423194389634,0.8804172395580807,1.0,1.0
