task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,verdict,dataset,selected,family,lasso_ok,shap_ok
motif_tumor_high,control,15,0.998681827604822,0.9985957862423668,1.0,1.0,1.0,1.0,0.156793660761623,0.01490756587359,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,True,composition_density,True,True
motif_cd8_high,control,15,0.9865698921956164,0.9830109561286148,1.0,1.0,1.0,1.0,0.44023535120954,0.0216123168137519,1.0,1.0,1.0,pass_control,pass_control,pass_control,bc_jackson2020,False,composition_density,True,True
motif_t_tumor_mixing,spatial,15,0.7799836943468025,0.7776268642715742,0.0,0.0,0.9333333333333332,0.0,0.2296639187773168,0.0816703327665713,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,composition_density,False,False
motif_cd8_tumor_contact,spatial,15,0.7742995993516177,0.7735016344744253,1.0,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.230579237706981,0.0948862120463348,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,bc_jackson2020,True,composition_density,True,True
motif_macrophage_tumor_niche,spatial,15,0.6675570569340739,0.6523256962187206,0.0,0.0,0.6666666666666666,0.0,0.1300309687307336,0.0644282398678443,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,composition_density,False,False
motif_apc_t_contact,spatial,15,0.655012982440284,0.6562219324871529,0.0,0.0,0.6666666666666666,0.0,0.0714131410601217,0.0389619277798325,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,bc_jackson2020,True,composition_density,False,False
motif_tumor_high,control,15,0.9965748727817996,0.9960329986265158,1.0,1.0,1.0,1.0,0.1531793697646821,0.0148186205615052,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,composition_density,True,True
motif_cd8_high,control,15,0.994144439331475,0.9937500378135558,1.0,1.0,1.0,1.0,0.47534307081697,0.0414250905313495,1.0,1.0,1.0,pass_control,pass_control,pass_control,hnc_wu2022,False,composition_density,True,True
motif_cd8_clustering,spatial,15,0.6947596869660048,0.6888909331394917,0.0,0.0,0.6666666666666666,0.0,0.1296670480462888,0.089734107941347,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,abundance_only_or_fail,hnc_wu2022,True,composition_density,False,False
motif_immune_exclusion,spatial,15,0.953367025803717,0.9526486033498353,0.6,0.8666666666666667,1.0,0.4666666666666667,0.3694177812995096,0.1033016850257427,1.0,1.0,1.0,pass_spatial,pass_spatial,abundance_only_or_fail,hnc_wu2022,True,composition_density,True,True
