method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,lasso_control_frac,shap_control_frac,control_frac_passed,lasso_verdict,shap_verdict,selected,shap_ok,family,explainer,lasso_ok
lasso_composition_density,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,15,0.655012982440284,0.6562219324871529,0.0,0.0,0.6666666666666666,0.0,0.0714131410601217,0.0389619277798325,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_density,lasso,
lasso_composition_density,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,True,pass_spatial,True,15,0.7742995993516177,0.7735016344744253,1.0,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.230579237706981,0.0948862120463348,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True,composition_density,lasso,
lasso_composition_density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,15,0.6675570569340739,0.6523256962187206,0.0,0.0,0.6666666666666666,0.0,0.1300309687307336,0.0644282398678443,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_density,lasso,
lasso_composition_density,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,15,0.7799836943468025,0.7776268642715742,0.0,0.0,0.9333333333333332,0.0,0.2296639187773168,0.0816703327665713,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_density,lasso,
lasso_composition_density,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,15,0.998681827604822,0.9985957862423668,1.0,1.0,1.0,1.0,0.156793660761623,0.01490756587359,1.0,1.0,1.0,pass_control,pass_control,True,True,composition_density,lasso,
lasso_composition_density,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_spatial,True,15,0.6727117449010656,0.667195017129883,0.2666666666666666,0.2,0.9333333333333332,0.1333333333333333,0.1803080828355109,0.0303751349211423,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_density,lasso,
lasso_composition_density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_spatial,True,15,0.8264228738236041,0.8201431203447667,0.0,0.0,1.0,0.0,0.2699387918589969,0.1044153244825416,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_density,lasso,
lasso_composition_density,hnc_wu2022,motif_cd8_clustering,spatial,False,False,fail_spatial,True,15,0.6947596869660048,0.6888909331394917,0.0,0.0,0.6666666666666666,0.0,0.1296670480462888,0.089734107941347,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_density,lasso,
lasso_composition_density,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,15,0.953367025803717,0.9526486033498353,0.6,0.8666666666666667,1.0,0.4666666666666667,0.3694177812995096,0.1033016850257427,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True,composition_density,lasso,
lasso_composition_density,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,15,0.990203526786034,0.9905319036462416,1.0,1.0,1.0,1.0,0.1302174176395042,0.0057679497366905,1.0,1.0,1.0,pass_control,pass_control,True,True,composition_density,lasso,
shap_composition_density,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,15,0.655012982440284,0.6562219324871529,0.0,0.0,0.6666666666666666,0.0,0.0714131410601217,0.0389619277798325,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,,composition_density,shap,False
shap_composition_density,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,True,pass_spatial,True,15,0.7742995993516177,0.7735016344744253,1.0,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.230579237706981,0.0948862120463348,1.0,1.0,1.0,pass_spatial,pass_spatial,True,,composition_density,shap,True
shap_composition_density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,15,0.6675570569340739,0.6523256962187206,0.0,0.0,0.6666666666666666,0.0,0.1300309687307336,0.0644282398678443,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,,composition_density,shap,False
shap_composition_density,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,15,0.7799836943468025,0.7776268642715742,0.0,0.0,0.9333333333333332,0.0,0.2296639187773168,0.0816703327665713,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,,composition_density,shap,False
shap_composition_density,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,15,0.998681827604822,0.9985957862423668,1.0,1.0,1.0,1.0,0.156793660761623,0.01490756587359,1.0,1.0,1.0,pass_control,pass_control,True,,composition_density,shap,True
shap_composition_density,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_spatial,True,15,0.6727117449010656,0.667195017129883,0.2666666666666666,0.2,0.9333333333333332,0.1333333333333333,0.1803080828355109,0.0303751349211423,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,,composition_density,shap,False
shap_composition_density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_spatial,True,15,0.8264228738236041,0.8201431203447667,0.0,0.0,1.0,0.0,0.2699387918589969,0.1044153244825416,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,,composition_density,shap,False
shap_composition_density,hnc_wu2022,motif_cd8_clustering,spatial,False,False,fail_spatial,True,15,0.6947596869660048,0.6888909331394917,0.0,0.0,0.6666666666666666,0.0,0.1296670480462888,0.089734107941347,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,,composition_density,shap,False
shap_composition_density,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,15,0.953367025803717,0.9526486033498353,0.6,0.8666666666666667,1.0,0.4666666666666667,0.3694177812995096,0.1033016850257427,1.0,1.0,1.0,pass_spatial,pass_spatial,True,,composition_density,shap,True
shap_composition_density,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,15,0.990203526786034,0.9905319036462416,1.0,1.0,1.0,1.0,0.1302174176395042,0.0057679497366905,1.0,1.0,1.0,pass_control,pass_control,True,,composition_density,shap,True
lasso_composition_mixing,bc_jackson2020,motif_apc_t_contact,spatial,True,True,pass_spatial,True,15,0.6898578550937108,0.6911848323806562,1.0,1.0,0.9333333333333332,0.9333333333333332,0.1100315020438229,0.004899090675224,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_spatial,pass_spatial,True,True,composition_mixing,lasso,
lasso_composition_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,True,pass_spatial,True,15,0.8546227985962144,0.859858266487207,1.0,1.0,1.0,1.0,0.0721900182684662,0.0014709281080409,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_spatial,pass_spatial,True,True,composition_mixing,lasso,
lasso_composition_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,True,pass_spatial,True,15,0.8068418285202179,0.8077465405796544,1.0,1.0,1.0,1.0,0.1162802859405314,0.0045081301483175,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_spatial,pass_spatial,True,True,composition_mixing,lasso,
lasso_composition_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,True,True,pass_spatial,True,15,0.8545570564242144,0.8577555080918863,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0844110889171911,0.0074773491877297,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_spatial,pass_spatial,True,True,composition_mixing,lasso,
lasso_composition_mixing,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,15,0.9667498086423916,0.9677884167084864,0.6666666666666666,0.4666666666666667,1.0,0.4666666666666667,0.0442456527141069,-0.0001195973235554,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_control,fail_control,True,False,composition_mixing,lasso,
lasso_composition_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,15,0.5220725354897646,0.5242686605156958,0.0,0.0,0.4,0.0,-0.0008107564442783,0.0008742572205443,0.0,0.1333333333333333,0.0,fail_control_block,fail_control_block,True,False,composition_mixing,lasso,
lasso_composition_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,True,False,fail_control_block,False,15,0.8211866028207535,0.8283315171181295,1.0,1.0,1.0,1.0,0.0745267610428977,0.0028665598080517,0.0,0.1333333333333333,0.0,fail_control_block,fail_control_block,True,True,composition_mixing,lasso,
lasso_composition_mixing,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,15,0.9386639965220896,0.9387598938993168,1.0,1.0,0.9333333333333332,0.9333333333333332,0.2164124140263622,0.017760811438437,1.0,1.0,1.0,pass_spatial,pass_spatial,True,True,composition_mixing,lasso,
lasso_composition_mixing,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_spatial,True,15,0.9247978693865252,0.9289453962699856,0.0,0.0,1.0,0.0,0.0560455623164369,0.0020987555212816,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,False,composition_mixing,lasso,
lasso_composition_mixing,tnbc_wang2023,motif_cd8_high,control,False,False,fail_control,False,15,0.9760251118301404,0.9737582063922432,0.0,0.4666666666666667,0.8666666666666667,0.0,0.0040089026906893,-0.0001652650062784,0.0,0.2333333333333333,0.0,fail_control,fail_control,True,False,composition_mixing,lasso,
shap_composition_mixing,bc_jackson2020,motif_apc_t_contact,spatial,True,False,fail_control_block,False,15,0.6898578550937108,0.6911848323806562,1.0,1.0,0.9333333333333332,0.9333333333333332,0.1100315020438229,0.004899090675224,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_spatial,pass_spatial,True,,composition_mixing,shap,True
shap_composition_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,False,fail_control_block,False,15,0.8546227985962144,0.859858266487207,1.0,1.0,1.0,1.0,0.0721900182684662,0.0014709281080409,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_spatial,pass_spatial,True,,composition_mixing,shap,True
shap_composition_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,False,fail_control_block,False,15,0.8068418285202179,0.8077465405796544,1.0,1.0,1.0,1.0,0.1162802859405314,0.0045081301483175,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_spatial,pass_spatial,True,,composition_mixing,shap,True
shap_composition_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,True,False,fail_control_block,False,15,0.8545570564242144,0.8577555080918863,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0844110889171911,0.0074773491877297,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_spatial,pass_spatial,True,,composition_mixing,shap,True
shap_composition_mixing,bc_jackson2020,motif_tumor_high,control,False,False,fail_control,False,15,0.9667498086423916,0.9677884167084864,0.6666666666666666,0.4666666666666667,1.0,0.4666666666666667,0.0442456527141069,-0.0001195973235554,0.8333333333333334,0.7333333333333333,0.7333333333333333,pass_control,fail_control,True,,composition_mixing,shap,True
shap_composition_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,15,0.5220725354897646,0.5242686605156958,0.0,0.0,0.4,0.0,-0.0008107564442783,0.0008742572205443,0.0,0.1333333333333333,0.0,fail_control_block,fail_control_block,True,,composition_mixing,shap,False
shap_composition_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,True,False,fail_control_block,False,15,0.8211866028207535,0.8283315171181295,1.0,1.0,1.0,1.0,0.0745267610428977,0.0028665598080517,0.0,0.1333333333333333,0.0,fail_control_block,fail_control_block,True,,composition_mixing,shap,True
shap_composition_mixing,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,15,0.9386639965220896,0.9387598938993168,1.0,1.0,0.9333333333333332,0.9333333333333332,0.2164124140263622,0.017760811438437,1.0,1.0,1.0,pass_spatial,pass_spatial,True,,composition_mixing,shap,True
shap_composition_mixing,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_spatial,True,15,0.9247978693865252,0.9289453962699856,0.0,0.0,1.0,0.0,0.0560455623164369,0.0020987555212816,1.0,1.0,1.0,abundance_only_or_fail,abundance_only_or_fail,True,,composition_mixing,shap,False
shap_composition_mixing,tnbc_wang2023,motif_cd8_high,control,False,False,fail_control,False,15,0.9760251118301404,0.9737582063922432,0.0,0.4666666666666667,0.8666666666666667,0.0,0.0040089026906893,-0.0001652650062784,0.0,0.2333333333333333,0.0,fail_control,fail_control,True,,composition_mixing,shap,False
lasso_density_mixing,bc_jackson2020,motif_apc_t_contact,spatial,True,False,fail_control_block,False,15,0.7146314468067728,0.7157721700028384,1.0,1.0,1.0,1.0,0.1008878656824832,0.0016596194917355,0.5,0.5,0.5,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,False,fail_control_block,False,15,0.86277095060924,0.8679437168379741,1.0,1.0,1.0,1.0,0.0721154189241403,0.0005680642765327,0.5,0.5,0.5,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,True,False,fail_control_block,False,15,0.8059525739871028,0.808455534836687,1.0,1.0,1.0,1.0,0.0999432821307586,0.0034957769917326,0.5,0.5,0.5,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,True,False,fail_control_block,False,15,0.8616561101060985,0.8647010077192543,1.0,1.0,0.9333333333333332,0.9333333333333332,0.0750293506315254,0.0050622092025475,0.5,0.5,0.5,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,False,15,0.9657877435362908,0.9672404818474496,1.0,1.0,1.0,1.0,0.0344884711927673,0.0010403449408716,0.5,0.5,0.5,pass_control,pass_control,True,True,density_mixing,lasso,
lasso_density_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,15,0.5091565742174511,0.5131627433812559,0.0,0.0,0.3333333333333333,0.0,-0.0066172741487464,0.0025319924893907,0.5,0.5,0.4333333333333333,abundance_only_or_fail,abundance_only_or_fail,True,False,density_mixing,lasso,
lasso_density_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,True,False,fail_control_block,False,15,0.8296913869117676,0.8328702358671249,1.0,1.0,1.0,1.0,0.0782468074270534,0.00308788893156,0.5,0.5,0.4333333333333333,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,hnc_wu2022,motif_cd8_clustering,spatial,True,False,fail_control_block,False,15,0.960297478206988,0.9584935217610372,1.0,1.0,1.0,1.0,0.2322396524083724,0.0097365660399192,0.6666666666666666,0.7333333333333333,0.5666666666666667,pass_spatial,pass_spatial,True,True,density_mixing,lasso,
lasso_density_mixing,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_control_block,False,15,0.9758398957766056,0.977862532173709,0.0,0.0,1.0,0.0,0.0950637587415565,0.0041725191595802,0.6666666666666666,0.7333333333333333,0.5666666666666667,abundance_only_or_fail,abundance_only_or_fail,True,False,density_mixing,lasso,
lasso_density_mixing,tnbc_wang2023,motif_cd8_high,control,False,False,fail_control,False,15,0.9757457281121866,0.9736361536164246,0.0,0.0,0.9333333333333332,0.0,0.0031615257696726,0.0001877536955666,0.5,0.5,0.3333333333333333,fail_control,fail_control,True,False,density_mixing,lasso,
shap_density_mixing,bc_jackson2020,motif_apc_t_contact,spatial,True,False,fail_control_block,False,15,0.7146314468067728,0.7157721700028384,1.0,1.0,1.0,1.0,0.1008878656824832,0.0016596194917355,0.5,0.5,0.5,pass_spatial,pass_spatial,True,,density_mixing,shap,True
shap_density_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,True,False,fail_control_block,False,15,0.86277095060924,0.8679437168379741,1.0,1.0,1.0,1.0,0.0721154189241403,0.0005680642765327,0.5,0.5,0.5,pass_spatial,pass_spatial,True,,density_mixing,shap,True
