dataset,task,kind,lasso_composition_density_raw,lasso_composition_density_verdict,shap_composition_density_raw,shap_composition_density_verdict,lasso_composition_mixing_raw,lasso_composition_mixing_verdict,shap_composition_mixing_raw,shap_composition_mixing_verdict,lasso_density_mixing_raw,lasso_density_mixing_verdict,shap_density_mixing_raw,shap_density_mixing_verdict,lasso_composition_point_pattern_raw,lasso_composition_point_pattern_verdict,shap_composition_point_pattern_raw,shap_composition_point_pattern_verdict,lasso_density_point_pattern_raw,lasso_density_point_pattern_verdict,shap_density_point_pattern_raw,shap_density_point_pattern_verdict,lasso_mixing_point_pattern_raw,lasso_mixing_point_pattern_verdict,shap_mixing_point_pattern_raw,shap_mixing_point_pattern_verdict
bc_jackson2020,motif_apc_t_contact,spatial,fail,fail_spatial,fail,fail_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block
bc_jackson2020,motif_cd8_tumor_contact,spatial,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block
bc_jackson2020,motif_macrophage_tumor_niche,spatial,fail,fail_spatial,fail,fail_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block
bc_jackson2020,motif_t_tumor_mixing,spatial,fail,fail_spatial,fail,fail_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block
bc_jackson2020,motif_tumor_high,control,pass,pass_control,pass,pass_control,pass,pass_control,fail,fail_control,pass,pass_control,pass,pass_control,pass,pass_control,pass,pass_control,pass,pass_control,pass,pass_control,fail,fail_control,fail,fail_control
bc_metabric_ali2020,motif_interface_immune,spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_spatial,fail,fail_spatial,fail,fail_control_block,fail,fail_control_block
bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,fail,fail_spatial,fail,fail_spatial,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block,pass,fail_control_block,fail,fail_control_block,fail,fail_control_block,fail,fail_spatial,fail,fail_spatial,pass,fail_control_block,pass,fail_control_block
hnc_wu2022,motif_cd8_clustering,spatial,fail,fail_spatial,fail,fail_spatial,pass,pass_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,pass_spatial,pass,fail_control_block,pass,fail_control_block
hnc_wu2022,motif_immune_exclusion,spatial,pass,pass_spatial,pass,pass_spatial,fail,fail_spatial,fail,fail_spatial,fail,fail_control_block,fail,fail_control_block,fail,fail_spatial,fail,fail_spatial,pass,pass_spatial,pass,pass_spatial,fail,fail_control_block,fail,fail_control_block
tnbc_wang2023,motif_cd8_high,control,pass,pass_control,pass,pass_control,fail,fail_control,fail,fail_control,fail,fail_control,fail,fail_control,pass,pass_control,pass,pass_control,pass,pass_control,pass,pass_control,fail,fail_control,fail,fail_control
