task,kind,hit_patterns,miss_as_top_patterns,fold_pass_rule,task_pass_rule
motif_tumor_high,control,composition::.*tumor(?!_stroma) | tissue_density::.*tumor(?!_stroma) | tumor_area_ratio | (^|::)tumor$,(none),top-5 hits any hit-pattern,>=50% of 15 folds pass
motif_cd8_high,control,composition::.*(cd8|t cells?) | tissue_density::.*(cd8|t cells?) | (^|::)(cd8 t cells?|t cells?)$,(none),top-5 hits any hit-pattern,>=50% of 15 folds pass
motif_cd8_clustering,spatial,cd8.*[_ ][kl]_r | cd8.*ripley | cd8.*cluster | mixing::neighbor_fraction__.*(cd8|t cell).*__to__.*(cd8|t cell) | mixing::same_type_neighbor_fraction | mixing::local_mixing,composition::.*cd8 | tissue_density::.*cd8 | frac__cd8 | (^|::)cd8 t cell$,top-5 hits any hit-pattern AND Top-1 does not match miss_as_top,>=50% of 15 folds pass
motif_tumor_stroma_mixing,spatial,stroma.*[_ ][kl]_r | tumor.*[_ ][kl]_r | mixing,composition::.*(tumor|stroma)$ | tissue_density::.*(tumor|stroma)$ | (^|::)(tumor|stroma)$,top-5 hits any hit-pattern AND Top-1 does not match miss_as_top,>=50% of 15 folds pass
motif_interface_immune,spatial,tumor_density::(cd8|cd4|b cell|macrophage|immune) | interface | (cd8|cd4|b cell).*[_ ][kl]_r,composition::.*(cd8|cd4|b cell|macrophage|immune) | tissue_density::.*(cd8|cd4|b cell|macrophage),top-5 hits any hit-pattern AND Top-1 does not match miss_as_top,>=50% of 15 folds pass
motif_immune_exclusion,spatial,tumor_density::cd8 | tissue_density::cd8 | cd8.*[_ ][kl]_r,composition::.*cd8 | frac__cd8,top-5 hits any hit-pattern AND Top-1 does not match miss_as_top,>=50% of 15 folds pass
motif_t_tumor_mixing,spatial,(t cells?|cd8).*[_ ][kl]_r | tumor.*[_ ][kl]_r | mixing,composition::.*(tumor|t cells?|cd8) | tissue_density::.*(tumor|t cells?|cd8),top-5 hits any hit-pattern AND Top-1 does not match miss_as_top,>=50% of 15 folds pass
motif_cd8_tumor_contact,spatial,(cd8|t cells?).*[_ ][kl]_r | tumor_density::(cd8|t cells?) | mixing,composition::.*(tumor|cd8|t cells?) | tissue_density::.*(tumor|cd8|t cells?),top-5 hits any hit-pattern AND Top-1 does not match miss_as_top,>=50% of 15 folds pass
motif_macrophage_tumor_niche,spatial,macrophage.*[_ ][kl]_r | tumor.*[_ ][kl]_r | mixing,composition::.*(tumor|macrophage) | tissue_density::.*(tumor|macrophage),top-5 hits any hit-pattern AND Top-1 does not match miss_as_top,>=50% of 15 folds pass
motif_apc_t_contact,spatial,(apc|dendritic|macrophage).*[_ ][kl]_r | (t cells?|cd8).*[_ ][kl]_r | mixing,composition::.*(apc|dendritic|macrophage|t cells?|cd8) | tissue_density::.*(apc|dendritic|macrophage|t cells?|cd8),top-5 hits any hit-pattern AND Top-1 does not match miss_as_top,>=50% of 15 folds pass
