family,dataset,task,kind,n_features,n_hit_candidates
composition,bc_jackson2020,motif_apc_t_contact,spatial,20,0
composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,20,0
composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,20,0
composition,bc_jackson2020,motif_t_tumor_mixing,spatial,20,0
composition,bc_jackson2020,motif_tumor_high,control,20,14
composition,bc_metabric_ali2020,motif_interface_immune,spatial,22,0
composition,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,22,0
composition,hnc_wu2022,motif_cd8_clustering,spatial,12,0
composition,hnc_wu2022,motif_immune_exclusion,spatial,12,0
composition,tnbc_wang2023,motif_cd8_high,control,37,4
density,bc_jackson2020,motif_apc_t_contact,spatial,41,0
density,bc_jackson2020,motif_cd8_tumor_contact,spatial,41,1
density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,41,0
density,bc_jackson2020,motif_t_tumor_mixing,spatial,41,0
density,bc_jackson2020,motif_tumor_high,control,41,15
density,bc_metabric_ali2020,motif_interface_immune,spatial,45,4
density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,45,0
density,hnc_wu2022,motif_cd8_clustering,spatial,25,0
density,hnc_wu2022,motif_immune_exclusion,spatial,25,2
density,tnbc_wang2023,motif_cd8_high,control,75,4
mixing,bc_jackson2020,motif_apc_t_contact,spatial,407,407
mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,407,407
mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,407,407
mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,407,407
mixing,bc_jackson2020,motif_tumor_high,control,407,0
mixing,bc_metabric_ali2020,motif_interface_immune,spatial,491,0
mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,491,491
mixing,hnc_wu2022,motif_cd8_clustering,spatial,151,9
mixing,hnc_wu2022,motif_immune_exclusion,spatial,151,0
mixing,tnbc_wang2023,motif_cd8_high,control,1376,0
point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,200,20
point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,200,10
point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,200,150
point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,200,150
point_pattern,bc_jackson2020,motif_tumor_high,control,200,0
point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,220,20
point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,220,0
point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,120,10
point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,120,10
point_pattern,tnbc_wang2023,motif_cd8_high,control,370,0
composition_density,bc_jackson2020,motif_apc_t_contact,spatial,61,0
composition_density,bc_jackson2020,motif_cd8_tumor_contact,spatial,61,1
composition_density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,61,0
composition_density,bc_jackson2020,motif_t_tumor_mixing,spatial,61,0
composition_density,bc_jackson2020,motif_tumor_high,control,61,29
composition_density,bc_metabric_ali2020,motif_interface_immune,spatial,67,4
composition_density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,67,0
composition_density,hnc_wu2022,motif_cd8_clustering,spatial,37,0
composition_density,hnc_wu2022,motif_immune_exclusion,spatial,37,2
composition_density,tnbc_wang2023,motif_cd8_high,control,112,8
composition_mixing,bc_jackson2020,motif_apc_t_contact,spatial,427,407
composition_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,427,407
composition_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,427,407
composition_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,427,407
composition_mixing,bc_jackson2020,motif_tumor_high,control,427,14
composition_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,513,0
composition_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,513,491
composition_mixing,hnc_wu2022,motif_cd8_clustering,spatial,163,9
composition_mixing,hnc_wu2022,motif_immune_exclusion,spatial,163,0
composition_mixing,tnbc_wang2023,motif_cd8_high,control,1413,4
density_mixing,bc_jackson2020,motif_apc_t_contact,spatial,448,407
density_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,448,408
density_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,448,407
density_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,448,407
density_mixing,bc_jackson2020,motif_tumor_high,control,448,15
density_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,536,4
density_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,536,491
density_mixing,hnc_wu2022,motif_cd8_clustering,spatial,176,9
density_mixing,hnc_wu2022,motif_immune_exclusion,spatial,176,2
density_mixing,tnbc_wang2023,motif_cd8_high,control,1451,4
composition_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,220,20
composition_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,220,10
composition_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,220,150
composition_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,220,150
composition_point_pattern,bc_jackson2020,motif_tumor_high,control,220,14
composition_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,242,20
composition_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,242,0
composition_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,132,10
composition_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,132,10
composition_point_pattern,tnbc_wang2023,motif_cd8_high,control,407,4
density_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,241,20
density_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,241,11
density_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,241,150
density_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,241,150
density_point_pattern,bc_jackson2020,motif_tumor_high,control,241,15
density_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,265,24
density_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,265,0
density_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,145,10
density_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,145,12
density_point_pattern,tnbc_wang2023,motif_cd8_high,control,445,4
mixing_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,607,427
mixing_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,607,417
mixing_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,607,557
mixing_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,607,557
mixing_point_pattern,bc_jackson2020,motif_tumor_high,control,607,0
mixing_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,711,20
mixing_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,711,491
mixing_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,271,19
mixing_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,271,10
mixing_point_pattern,tnbc_wang2023,motif_cd8_high,control,1746,0
