family,dataset,task,kind,method,n_hit_candidates,hit_at_1,precision_at_3,precision_at_5,mrr,recall_at_1,recall_at_3,recall_at_5,miss_as_top1,n_folds
composition,bc_jackson2020,motif_apc_t_contact,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition,bc_jackson2020,motif_apc_t_contact,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,15
composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,15
composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15
composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,15
composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,15
composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,15
composition,bc_jackson2020,motif_tumor_high,control,lasso,14,0.0,0.3333333333333333,0.41333333333333333,0.3444444444444444,0.0,0.3333333333333333,0.41333333333333333,0.0,15
composition,bc_jackson2020,motif_tumor_high,control,shap,14,0.0,0.3333333333333333,0.44000000000000006,0.3777777777777777,0.0,0.3333333333333333,0.44000000000000006,0.0,15
composition,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition,bc_metabric_ali2020,motif_interface_immune,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition,hnc_wu2022,motif_cd8_clustering,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,15
composition,hnc_wu2022,motif_cd8_clustering,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,15
composition,hnc_wu2022,motif_immune_exclusion,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15
composition,hnc_wu2022,motif_immune_exclusion,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15
composition,tnbc_wang2023,motif_cd8_high,control,lasso,4,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,15
composition,tnbc_wang2023,motif_cd8_high,control,shap,4,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,15
density,bc_jackson2020,motif_apc_t_contact,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density,bc_jackson2020,motif_apc_t_contact,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,0.0,15
density,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,1,0.9333333333333333,0.3333333333333333,0.2,0.9666666666666667,0.9333333333333333,1.0,1.0,0.0,15
density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,15
density,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,15
density,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density,bc_jackson2020,motif_tumor_high,control,lasso,15,1.0,0.8222222222222223,0.7466666666666667,1.0,1.0,0.8222222222222223,0.7466666666666667,0.0,15
density,bc_jackson2020,motif_tumor_high,control,shap,15,1.0,0.5111111111111111,0.49333333333333335,1.0,1.0,0.5111111111111111,0.49333333333333335,0.0,15
density,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,4,0.0,0.04444444444444444,0.08000000000000002,0.18094831094831096,0.0,0.04444444444444444,0.1,0.0,15
density,bc_metabric_ali2020,motif_interface_immune,spatial,shap,4,0.06666666666666667,0.04444444444444444,0.06666666666666667,0.1900326797385621,0.06666666666666667,0.04444444444444444,0.08333333333333333,0.0,15
density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density,hnc_wu2022,motif_cd8_clustering,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,15
density,hnc_wu2022,motif_cd8_clustering,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,15
density,hnc_wu2022,motif_immune_exclusion,spatial,lasso,2,0.0,0.3333333333333333,0.2,0.5,0.0,0.5,0.5,0.0,15
density,hnc_wu2022,motif_immune_exclusion,spatial,shap,2,0.2,0.26666666666666666,0.24000000000000002,0.5355555555555556,0.2,0.4,0.6,0.0,15
density,tnbc_wang2023,motif_cd8_high,control,lasso,4,1.0,0.9777777777777777,0.7866666666666667,1.0,1.0,0.9777777777777777,0.9833333333333333,0.0,15
density,tnbc_wang2023,motif_cd8_high,control,shap,4,1.0,0.9111111111111111,0.7333333333333333,1.0,1.0,0.9111111111111111,0.9166666666666666,0.0,15
mixing,bc_jackson2020,motif_apc_t_contact,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_jackson2020,motif_apc_t_contact,spatial,shap,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_jackson2020,motif_tumor_high,control,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing,bc_jackson2020,motif_tumor_high,control,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing,bc_metabric_ali2020,motif_interface_immune,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
mixing,hnc_wu2022,motif_cd8_clustering,spatial,lasso,9,1.0,0.4,0.32000000000000006,1.0,1.0,0.4,0.32000000000000006,0.0,15
mixing,hnc_wu2022,motif_cd8_clustering,spatial,shap,9,1.0,0.3555555555555555,0.25333333333333335,1.0,1.0,0.3555555555555555,0.25333333333333335,0.0,15
mixing,hnc_wu2022,motif_immune_exclusion,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing,hnc_wu2022,motif_immune_exclusion,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing,tnbc_wang2023,motif_cd8_high,control,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
mixing,tnbc_wang2023,motif_cd8_high,control,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,lasso,20,0.8666666666666667,0.4444444444444444,0.3466666666666667,0.9166666666666666,0.8666666666666667,0.4444444444444444,0.3466666666666667,0.0,15
point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,shap,20,0.6,0.4444444444444444,0.32,0.7666666666666667,0.6,0.4444444444444444,0.32,0.0,15
point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,10,0.26666666666666666,0.3333333333333333,0.29333333333333333,0.5001587301587301,0.26666666666666666,0.3333333333333333,0.29333333333333333,0.0,15
point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,10,0.2,0.24444444444444444,0.24000000000000002,0.4664177489177489,0.2,0.24444444444444444,0.24000000000000002,0.0,15
point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,150,0.9333333333333333,0.9555555555555556,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9555555555555556,0.9333333333333333,0.0,15
point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,150,0.8,0.8444444444444444,0.84,0.9,0.8,0.8444444444444444,0.84,0.0,15
point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,150,0.6,0.7777777777777778,0.7466666666666666,0.8,0.6,0.7777777777777778,0.7466666666666666,0.0,15
point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,150,0.8666666666666667,0.7777777777777778,0.7733333333333334,0.9333333333333333,0.8666666666666667,0.7777777777777778,0.7733333333333334,0.0,15
point_pattern,bc_jackson2020,motif_tumor_high,control,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
point_pattern,bc_jackson2020,motif_tumor_high,control,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,20,0.06666666666666667,0.04444444444444444,0.08000000000000002,0.17539516039516037,0.06666666666666667,0.04444444444444444,0.08000000000000002,0.0,15
point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,shap,20,0.06666666666666667,0.04444444444444444,0.04000000000000001,0.13904835904835902,0.06666666666666667,0.04444444444444444,0.04000000000000001,0.0,15
point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
