family,method,kind,hit_at_1,precision_at_3,precision_at_5,mrr,recall_at_1,recall_at_3,recall_at_5,n_tasks
composition,lasso,spatial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
composition,shap,spatial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
composition,lasso,control,0.5,0.6666666666666666,0.6066666666666667,0.6722222222222222,0.5,0.6666666666666666,0.7066666666666667,2
composition,shap,control,0.5,0.6666666666666666,0.6200000000000001,0.6888888888888889,0.5,0.6666666666666666,0.72,2
density,lasso,spatial,0.125,0.08888888888888888,0.060000000000000005,0.21011853886853887,0.125,0.19305555555555556,0.2,8
density,shap,spatial,0.15,0.08055555555555555,0.06333333333333334,0.21153186274509805,0.15,0.18055555555555555,0.21041666666666667,8
density,lasso,control,1.0,0.9,0.7666666666666667,1.0,1.0,0.9,0.865,2
density,shap,control,1.0,0.711111111111111,0.6133333333333333,1.0,1.0,0.711111111111111,0.705,2
mixing,lasso,spatial,0.75,0.675,0.665,0.75,0.75,0.675,0.665,8
mixing,shap,spatial,0.75,0.6694444444444444,0.6566666666666666,0.75,0.75,0.6694444444444444,0.6566666666666666,8
mixing,lasso,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
mixing,shap,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
point_pattern,lasso,spatial,0.49166666666666664,0.4638888888888889,0.4433333333333333,0.5891824841824842,0.49166666666666664,0.4638888888888889,0.4433333333333333,8
point_pattern,shap,spatial,0.4916666666666667,0.4472222222222222,0.4316666666666667,0.5903790306915306,0.4916666666666667,0.4472222222222222,0.4316666666666667,8
point_pattern,lasso,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
point_pattern,shap,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
composition_density,lasso,spatial,0.125,0.04444444444444444,0.04666666666666667,0.167381253006253,0.125,0.12777777777777777,0.17083333333333334,8
composition_density,shap,spatial,0.08333333333333333,0.06666666666666667,0.058333333333333334,0.1515691086376071,0.08333333333333333,0.1611111111111111,0.20208333333333334,8
composition_density,lasso,control,0.5,0.6777777777777778,0.7466666666666666,0.75,0.5,0.6777777777777778,0.7466666666666666,2
composition_density,shap,control,0.5,0.7,0.7066666666666667,0.7444444444444445,0.5,0.7,0.7066666666666667,2
composition_mixing,lasso,spatial,0.75,0.675,0.6633333333333333,0.75,0.75,0.675,0.6633333333333333,8
composition_mixing,shap,spatial,0.75,0.6666666666666666,0.6516666666666666,0.75,0.75,0.6666666666666666,0.6516666666666666,8
composition_mixing,lasso,control,0.0,0.01111111111111111,0.06666666666666667,0.13527721934068682,0.0,0.01111111111111111,0.06666666666666667,2
composition_mixing,shap,control,0.06666666666666667,0.05555555555555555,0.10666666666666667,0.2343530543530543,0.06666666666666667,0.05555555555555555,0.12166666666666667,2
