method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,n_pos,n_neg,portrait_exists,top_domain,top_name,top_majority,top_markers,top_mean_diff,top_auc,top_portrait_hit,top_portrait_miss,recovered,association_ok,top3_names,top3_any_hit
utag_cellular,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,175,140,True,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.0269340424269495,0.5287755102040816,False,False,False,False,utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Tumor (Proliferative)__04,False
utag_cellular,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_spatial,True,239,142,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.0542329423145084,0.5605810595792328,True,False,False,False,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Stromal cells__02;utag_domain::Tumor (CK lo HR lo)__01,True
utag_cellular,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,152,149,True,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.047285673550815,0.5183680678205581,True,False,True,False,utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__01;utag_domain::Stromal cells__02,True
utag_cellular,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,242,143,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.051967814259996,0.5560307461133908,True,False,False,False,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Stromal cells__02;utag_domain::Tumor (CK lo HR lo)__01,True
utag_cellular,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,364,344,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.1573697898483542,0.7480833120368006,True,False,True,True,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__01,True
utag_cellular,bc_metabric_ali2020,motif_interface_immune,spatial,True,False,fail_control_block,False,138,138,True,1,utag_domain::Myofibroblasts__01,Myofibroblasts,Vimentin;Fibronectin;SMA;CD44;CD68,0.082163259410121,0.6465816005040959,True,False,True,True,utag_domain::Myofibroblasts__01;utag_domain::HR+ CK7-__00;utag_domain::HR- CK7+__03,True
utag_cellular,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,163,164,True,9,utag_domain::HR+ CK7-__09,HR+ CK7-,GATA3;DNA2;DNA1;PR;CK8_18,0.051265578257739,0.5315352386652702,True,False,True,False,utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__04;utag_domain::Fibroblasts__05,True
utag_cellular,hnc_wu2022,motif_cd8_clustering,spatial,False,False,fail_control_block,False,100,123,True,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.0672686324921973,0.636260162601626,False,True,False,True,utag_domain::Tumor__08;utag_domain::CD4 T cell__02;utag_domain::Macrophage__06,False
utag_cellular,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_control_block,False,109,107,True,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.0713180358073983,0.6373574552002058,False,True,False,True,utag_domain::Tumor__08;utag_domain::Macrophage__06;utag_domain::Tumor__03,False
utag_cellular,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,False,383,383,True,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.1934630984736976,0.845946185467213,True,False,True,True,utag_domain::CD79a^+Plasma__07;utag_domain::Treg__02;utag_domain::CD4^+TCF1^+T__05,True
