dataset,task,seed,fold,method,kind,hit_in_top5,n_hit_in_top,best_hit_rank,top1,miss_as_top1,recovered,passed,auc_lasso,auc_ridge,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed
hnc_wu2022,motif_cd8_clustering,0,0,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.6168831168831169,0.6190476190476191,0.0064935064935065,-0.0021645021645022,True
hnc_wu2022,motif_cd8_clustering,0,0,shap,spatial,,0,,utag_mean__CD69,False,False,False,0.6168831168831169,0.6190476190476191,0.0064935064935065,-0.0021645021645022,True
hnc_wu2022,motif_cd8_clustering,0,1,lasso,spatial,,0,,utag_mean__CD4,False,False,False,0.591304347826087,0.5594202898550724,0.0449275362318839,0.034782608695652,True
hnc_wu2022,motif_cd8_clustering,0,1,shap,spatial,,0,,utag_mean__HLA-DR,False,False,False,0.591304347826087,0.5594202898550724,0.0449275362318839,0.034782608695652,True
hnc_wu2022,motif_cd8_clustering,0,2,lasso,spatial,,0,,utag_std__CD8,True,False,False,0.615,0.57,0.1149999999999999,0.0874999999999999,True
hnc_wu2022,motif_cd8_clustering,0,2,shap,spatial,,0,,utag_mean__HLA-DR,False,False,False,0.615,0.57,0.1149999999999999,0.0874999999999999,True
hnc_wu2022,motif_cd8_clustering,0,3,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.4441176470588235,0.4470588235294117,-0.1441176470588235,0.0588235294117646,False
hnc_wu2022,motif_cd8_clustering,0,3,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.4441176470588235,0.4470588235294117,-0.1441176470588235,0.0588235294117646,False
hnc_wu2022,motif_cd8_clustering,0,4,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.622895622895623,0.5538720538720538,-0.0016835016835017,0.1026936026936026,False
hnc_wu2022,motif_cd8_clustering,0,4,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.622895622895623,0.5538720538720538,-0.0016835016835017,0.1026936026936026,False
hnc_wu2022,motif_cd8_clustering,1,0,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.4976958525345621,0.4055299539170506,-0.0122887864823348,0.118279569892473,False
hnc_wu2022,motif_cd8_clustering,1,0,shap,spatial,,0,,utag_std__HLA-DR,False,False,False,0.4976958525345621,0.4055299539170506,-0.0122887864823348,0.118279569892473,False
hnc_wu2022,motif_cd8_clustering,1,1,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.5505952380952381,0.5565476190476191,0.0535714285714286,0.0267857142857141,True
hnc_wu2022,motif_cd8_clustering,1,1,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.5505952380952381,0.5565476190476191,0.0535714285714286,0.0267857142857141,True
hnc_wu2022,motif_cd8_clustering,1,2,lasso,spatial,,0,,utag_std__CD8,True,False,False,0.4560185185185185,0.4375,0.0300925925925925,0.0277777777777777,True
hnc_wu2022,motif_cd8_clustering,1,2,shap,spatial,,0,,utag_mean__HLA-DR,False,False,False,0.4560185185185185,0.4375,0.0300925925925925,0.0277777777777777,True
hnc_wu2022,motif_cd8_clustering,1,3,lasso,spatial,,0,,utag_mean__HLA-DR,False,False,False,0.6770370370370371,0.6266666666666667,-0.0044444444444443,-0.0251851851851852,True
hnc_wu2022,motif_cd8_clustering,1,3,shap,spatial,,0,,utag_mean__HLA-DR,False,False,False,0.6770370370370371,0.6266666666666667,-0.0044444444444443,-0.0251851851851852,True
hnc_wu2022,motif_cd8_clustering,1,4,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.6414141414141413,0.6464646464646464,0.0808080808080807,0.1035353535353534,False
