task,kind,n_pos,n_neg,portrait_exists,top_domain,top_name,top_majority,top_markers,top_mean_diff,top_auc,top_portrait_hit,top_portrait_miss,recovered,association_ok,passed,verdict,top3_names,top3_any_hit,dataset,utag_ok
motif_tumor_high,control,364,344,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.1573697898483542,0.7480833120368006,True,False,True,True,True,pass_control,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__01,True,bc_jackson2020,True
motif_cd8_high,control,453,255,True,3,utag_domain::Stromal cells__03,Stromal cells,CD44;CD68;Vimentin;Fibronectin;CD45,0.1092093134576595,0.7663074059645933,True,False,True,True,True,pass_control,utag_domain::Stromal cells__03;utag_domain::Stromal cells__02;utag_domain::Tumor (CK lo HR lo)__01,True,bc_jackson2020,True
motif_cd8_clustering,spatial,146,234,True,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.094159355582352,0.6385083713850837,False,True,False,True,False,abundance_only_or_fail,utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Stromal cells__08;utag_domain::Tumor (Proliferative)__04,False,bc_jackson2020,False
motif_tumor_stroma_mixing,spatial,209,221,True,8,utag_domain::Stromal cells__08,Stromal cells,DNA1;Ki-67;Cytokeratin 5;Keratin 14 (KRT14);CD20,0.0564068719092342,0.5177856199528026,True,False,True,False,False,abundance_only_or_fail,utag_domain::Stromal cells__08;utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (Proliferative)__04,True,bc_jackson2020,False
motif_interface_immune,spatial,261,172,True,1,utag_domain::Tumor (CK lo HR lo)__01,Tumor (CK lo HR lo),GATA3;Cytokeratin 8/18;Cytokeratin 19;Estrogen;phospho-mTOR,0.0562931474349516,0.6392675755145681,False,True,False,True,False,abundance_only_or_fail,utag_domain::Tumor (CK lo HR lo)__01;utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Tumor (p53+ EGFR+)__07,False,bc_jackson2020,False
motif_immune_exclusion,spatial,186,182,True,9,utag_domain::Stromal cells__09,Stromal cells,Fibronectin;Vimentin;SMA;Cytokeratin 5;Keratin 14 (KRT14),0.0654514904739985,0.5745007680491552,False,False,False,False,False,abundance_only_or_fail,utag_domain::Stromal cells__09;utag_domain::Tumor (p53+ EGFR+)__07;utag_domain::Stromal cells__02,False,bc_jackson2020,False
motif_t_tumor_mixing,spatial,242,143,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.051967814259996,0.5560307461133908,True,False,False,False,False,abundance_only_or_fail,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Stromal cells__02;utag_domain::Tumor (CK lo HR lo)__01,True,bc_jackson2020,False
motif_cd8_tumor_contact,spatial,239,142,True,6,utag_domain::Tumor (CK lo HR lo)__06,Tumor (CK lo HR lo),pan Cytokeratin;Ecadherin;c-erbB-2 - Her2;Cytokeratin 8/18;GATA3,0.0542329423145084,0.5605810595792328,True,False,False,False,False,abundance_only_or_fail,utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Stromal cells__02;utag_domain::Tumor (CK lo HR lo)__01,True,bc_jackson2020,False
motif_macrophage_tumor_niche,spatial,152,149,True,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.047285673550815,0.5183680678205581,True,False,True,False,False,abundance_only_or_fail,utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__01;utag_domain::Stromal cells__02,True,bc_jackson2020,False
motif_apc_t_contact,spatial,175,140,True,0,utag_domain::Tumor (CK+ HR lo)__00,Tumor (CK+ HR lo),pan Cytokeratin;Histone H3;Ecadherin;c-erbB-2 - Her2;cleaved PARP,0.0269340424269495,0.5287755102040816,False,False,False,False,False,abundance_only_or_fail,utag_domain::Tumor (CK+ HR lo)__00;utag_domain::Tumor (CK lo HR lo)__06;utag_domain::Tumor (Proliferative)__04,False,bc_jackson2020,False
motif_tumor_high,control,274,274,True,9,utag_domain::HR+ CK7-__09,HR+ CK7-,GATA3;DNA2;DNA1;PR;CK8_18,0.1743014370555393,0.759297245457936,True,False,True,True,True,pass_control,utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__04;utag_domain::HR+ CK7-__00,True,bc_metabric_ali2020,True
motif_cd8_high,control,274,274,True,1,utag_domain::Myofibroblasts__01,Myofibroblasts,Vimentin;Fibronectin;SMA;CD44;CD68,0.1050545872069453,0.7087551281368214,False,False,False,True,False,fail_control,utag_domain::Myofibroblasts__01;utag_domain::T cells__02;utag_domain::Fibroblasts__05,True,bc_metabric_ali2020,False
motif_cd8_clustering,spatial,105,106,True,5,utag_domain::Fibroblasts__05,Fibroblasts,Fibronectin;DNA2;DNA1;SMA;Vimentin,0.0449217507852086,0.5519317160826595,False,False,False,False,False,abundance_only_or_fail,utag_domain::Fibroblasts__05;utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__07,False,bc_metabric_ali2020,False
motif_tumor_stroma_mixing,spatial,163,164,True,9,utag_domain::HR+ CK7-__09,HR+ CK7-,GATA3;DNA2;DNA1;PR;CK8_18,0.051265578257739,0.5315352386652702,True,False,True,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__04;utag_domain::Fibroblasts__05,True,bc_metabric_ali2020,False
motif_interface_immune,spatial,138,138,True,1,utag_domain::Myofibroblasts__01,Myofibroblasts,Vimentin;Fibronectin;SMA;CD44;CD68,0.082163259410121,0.6465816005040959,True,False,True,True,True,pass_spatial,utag_domain::Myofibroblasts__01;utag_domain::HR+ CK7-__00;utag_domain::HR- CK7+__03,True,bc_metabric_ali2020,True
motif_immune_exclusion,spatial,105,105,True,0,utag_domain::HR+ CK7-__00,HR+ CK7-,ER;panCK;CK8_18;Beta_catenin;E_cadherin,0.0453098133486517,0.5822675736961451,False,True,False,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__00;utag_domain::Fibroblasts__05;utag_domain::T cells__02,True,bc_metabric_ali2020,False
motif_t_tumor_mixing,spatial,106,105,True,4,utag_domain::HR+ CK7-__04,HR+ CK7-,GATA3;HH3_total;ER;Sox9;Ki67,0.0397678933715949,0.4508535489667565,True,False,True,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__04;utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__07,True,bc_metabric_ali2020,False
motif_cd8_tumor_contact,spatial,106,105,True,4,utag_domain::HR+ CK7-__04,HR+ CK7-,GATA3;HH3_total;ER;Sox9;Ki67,0.0397678933715949,0.4508535489667565,True,False,True,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__04;utag_domain::HR+ CK7-__09;utag_domain::HR+ CK7-__07,True,bc_metabric_ali2020,False
motif_macrophage_tumor_niche,spatial,103,103,True,9,utag_domain::HR+ CK7-__09,HR+ CK7-,GATA3;DNA2;DNA1;PR;CK8_18,0.0250693767654139,0.5136205108869828,True,False,True,False,False,abundance_only_or_fail,utag_domain::HR+ CK7-__09;utag_domain::HR- CK7+__03;utag_domain::HR- CK7+__06,True,bc_metabric_ali2020,False
motif_apc_t_contact,spatial,103,103,True,7,utag_domain::HR+ CK7-__07,HR+ CK7-,Slug;c_PARP_c_Casp3;p53;vWF_CD31;c_Myc,0.0517596648941444,0.6094825148458856,True,False,True,True,True,pass_spatial,utag_domain::HR+ CK7-__07;utag_domain::HR+ CK7-__08;utag_domain::T cells__02,True,bc_metabric_ali2020,True
motif_tumor_high,control,175,191,True,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.1474385381757383,0.6667015706806283,True,False,True,False,False,fail_control,utag_domain::Tumor__08;utag_domain::Tumor__01;utag_domain::Tumor__03,True,hnc_wu2022,False
motif_cd8_high,control,183,183,True,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.1402349720786105,0.7463047567858103,True,False,True,True,True,pass_control,utag_domain::CD4 T cell__02;utag_domain::Tumor__01;utag_domain::Tumor__04,True,hnc_wu2022,True
motif_cd8_clustering,spatial,100,123,True,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.0672686324921973,0.636260162601626,False,True,False,True,False,abundance_only_or_fail,utag_domain::Tumor__08;utag_domain::CD4 T cell__02;utag_domain::Macrophage__06,False,hnc_wu2022,False
motif_tumor_stroma_mixing,spatial,103,110,True,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD117;CD8;PanCK,0.0429240364569716,0.5516328331862312,True,False,True,False,False,abundance_only_or_fail,utag_domain::Tumor__01;utag_domain::Macrophage__09;utag_domain::Macrophage__06,True,hnc_wu2022,False
motif_interface_immune,spatial,122,98,True,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.1474165503134102,0.5415690866510539,True,True,True,False,False,abundance_only_or_fail,utag_domain::Tumor__04;utag_domain::Tumor__08;utag_domain::Tumor__03,True,hnc_wu2022,False
motif_immune_exclusion,spatial,109,107,True,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.0713180358073983,0.6373574552002058,False,True,False,True,False,abundance_only_or_fail,utag_domain::Tumor__08;utag_domain::Macrophage__06;utag_domain::Tumor__03,False,hnc_wu2022,False
motif_t_tumor_mixing,spatial,120,118,True,5,utag_domain::Tumor__05,Tumor,Vimentin;PDL1;PD1;ICOS;CD38,0.0479506385681449,0.5341101694915253,True,False,True,False,False,abundance_only_or_fail,utag_domain::Tumor__05;utag_domain::Tumor__03;utag_domain::Tumor__04,True,hnc_wu2022,False
motif_cd8_tumor_contact,spatial,121,111,True,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.0419297503213935,0.5325738962102599,True,False,True,False,False,abundance_only_or_fail,utag_domain::Tumor__04;utag_domain::Tumor__00;utag_domain::Tumor__03,True,hnc_wu2022,False
motif_macrophage_tumor_niche,spatial,132,109,True,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.1023068467111354,0.6307686961356685,True,False,True,True,True,pass_spatial,utag_domain::Tumor__04;utag_domain::Tumor__00;utag_domain::Tumor__01,True,hnc_wu2022,True
motif_apc_t_contact,spatial,115,135,True,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.047684616678586,0.6615780998389694,True,False,True,True,True,pass_spatial,utag_domain::Macrophage__09;utag_domain::Tumor__01;utag_domain::Macrophage__06,True,hnc_wu2022,True
motif_tumor_high,control,383,383,True,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.249322378135071,0.6973120002181485,True,False,True,False,False,fail_control,utag_domain::Vimentin^{+}EMT__03;utag_domain::Basal__08;utag_domain::AR^{+}LAR__09,True,tnbc_wang2023,False
motif_cd8_high,control,383,383,True,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.1934630984736976,0.845946185467213,True,False,True,True,True,pass_control,utag_domain::CD79a^+Plasma__07;utag_domain::Treg__02;utag_domain::CD4^+TCF1^+T__05,True,tnbc_wang2023,True
motif_cd8_clustering,spatial,203,204,True,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.0690187980524069,0.6054766734279918,False,True,False,True,False,abundance_only_or_fail,utag_domain::Basal__08;utag_domain::PD-L1^{+}GZMB^{+}__04;utag_domain::CD4^+TCF1^+T__05,True,tnbc_wang2023,False
motif_tumor_stroma_mixing,spatial,229,229,True,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.1901735229198923,0.6643084609370531,True,False,True,True,True,pass_spatial,utag_domain::Vimentin^{+}EMT__03;utag_domain::CD79a^+Plasma__07;utag_domain::Fibroblasts__01,True,tnbc_wang2023,True
